Milhon Jim, Azusa Pacific, hc, [1978, 1994]
Miller Del, Plainfield HS (IA), hc, [1972, 1974]
Miller Del, Eagle Grove HS (IA) (DC), dc, [1975, 1976]
Miller Del, Eagle Grove HS (IA), hc, [1977, 1977]
Miller Del, Iowa (assistant), ga, [1978, 1988]
Miller Del, Kansas State (OC), oc, [1989, 1990]
Miller Del, Kansas State (AHC/OC), hc, [1991, 1994]
Miller Del, Southwest Missouri State, hc, [1995, 1998]
Miller Del, Oklahoma State (OC), oc, [2000, 2000]
Miller Del, Kansas State (assistant), ga, [2001, 2002]
Miller Del, Kansas State (DE), dl, [2002, 2003]
Miller Del, Kansas State (co-OC/QB), oc, [2003, 2005]
Miller Del, San Diego State (OC/QB), oc, [2006, 2008]
Miller Del, Kansas State (OC/QB), oc, [2009, -1]
Mills Chuck, Citrus JC (line), hc, [1956, 1956]
Mills Chuck, Pomona, hc, [1959, 1961]
Mills Chuck, Indiana State (PA), hc, [1962, 1963]
Mills Chuck, Merchant Marine, hc, [1964, 1964]
Mills Chuck, Arizona (assistant), ga, [1965, 1965]
Mills Chuck, Kansas City Chiefs (assistant), ga, [1966, 1966]
Mills Chuck, Utah State, hc, [1967, 1972]
Mills Chuck, Wake Forest, hc, [1973, 1977]
Mills Chuck, Southern Oregon, hc, [1980, 1988]
Mills Chuck, Coast Guard, hc, [1997, -1]
Mills Jay, Notre Dame (assistant), ga, [1984, 1986]
Mills Jay, Boise State (assistant), ga, [1987, 1992]
Mills Jay, MinnesotaMorris, hc, [1993, 1995]
Mills Jay, Harvard (assistant), ga, [1996, 2002]
Mills Jay, Charleston Southern, hc, [2003, 2012]
Minter Mike, Johnson C. Smith (AHC/DPGC/SPC), hc, [2011, 2011]
Minter Mike, Liberty (SPC), hc, [2012, 2012]
Minter Mike, Campbell, hc, [2013, -1]
Minter Rick, Henderson State (GA), ga, [1977, 1977]
Minter Rick, Arkansas (GA), ga, [1978, 1978]
Minter Rick, Louisiana Tech (DE), dl, [1979, 1980]
Minter Rick, North Carolina State (DE), dl, [1980, 1982]
Minter Rick, New Mexico State (LB), lb, [1984, 1984]
Minter Rick, Ball State (DC), dc, [1985, 1991]
Minter Rick, Notre Dame (DC), dc, [1992, 1993]
Minter Rick, Cincinnati, hc, [1994, 2003]
Minter Rick, South Carolina (DC), dc, [2004, 2004]
Minter Rick, Notre Dame (DC), dc, [2005, 2007]
Minter Rick, Marshall (DC), dc, [2008, 2009]
Minter Rick, Marshall (interim HC), hc, [2009, 2009]
Minter Rick, Indiana State (LB), lb, [2010, 2010]
Minter Rick, Kentucky (DC), dc, [2011, 2012]
Minter Rick, Philadelphia Eagles (LB), lb, [2013, -1]
Mitchell Lyvonia Stump, San Antonio Riders (assistant), ga, [1992, 1992]
Mitchell Lyvonia Stump, Casa Grande Union HS (AZ), hc, [1993, 1994]
Mitchell Lyvonia Stump, Morgan State (AHC/OC), hc, [1995, 1995]
Mitchell Lyvonia Stump, Morgan State, hc, [1996, 1998]
Mitchell Lyvonia Stump, Seattle Seahawks (RB), rb, [1999, 2007]
Mitchell Lyvonia Stump, Washington Redskins (AHC/RB), hc, [2008, 2009]
Mitchell Lyvonia Stump, Southern, hc, [2010, 2012]
Mitchell Lyvonia Stump, Arizona Cardinals (RB), rb, [2013, -1]
Mitchell Matt, Wartburg Coll. (Defensive Assistant), dl, [2000, 2001]
Mitchell Matt, Wartburg Coll. (DC), dc, [2002, 2003]
Mitchell Matt, GVSU (LB), lb, [2004, 2007]
Mitchell Matt, GVSU (DC/DB), dc, [2008, 2009]
Mitchell Matt, GVSU, hc, [2010, -1]
Mitchell Neal, Vanderbilt (Adm. asst), hc, [1994, 1994]
Mitchell Neal, LSU (Gr. asst), hc, [1995, 1995]
Mitchell Neal, Washington U. (DL), dl, [1996, 1996]
Mitchell Neal, Greensboro, hc, [2002, 2008]
Moeller Gary O., Miami (assistant), ga, [1967, 1968]
Moeller Gary O., Michigan (DE), dl, [1969, 1972]
Moeller Gary O., Michigan (DC), dc, [1973, 1976]
Moeller Gary O., Illinois, hc, [1977, 1979]
Moeller Gary O., Michigan (QB), qb, [1980, 1981]
Moeller Gary O., Michigan (DC), dc, [1982, 1986]
Moeller Gary O., Michigan (OC), oc, [1987, 1989]
Moeller Gary O., Michigan, hc, [1990, 1994]
