Anderson Bill, North Park, hc, [1978, 1985]
Anderson Bill, Howard Payne, hc, [1988, 1991]
Ankney Moe, Ball State (DB), db, [1971, 1975]
Ankney Moe, Tulane (DC/DB), hc, [1976, 1979]
Ankney Moe, Arizona (AHC/DC/AB), hc, [1980, 1985]
Ankney Moe, Bowling Green, hc, [1986, 1990]
Ankney Moe, Purdue (DC), dc, [1991, 1994]
Ankney Moe, Missouri (DC), dc, [1998, 2004]
Ankney Moe, Minnesota (AHC), hc, [2005, -1]
Archer Mike, Miami (GA), ga, [1976, 1977]
Archer Mike, Miami (assistant), ga, [1978, 1978]
Archer Mike, Miami (DB), db, [1979, 1983]
Archer Mike, LSU (DB), db, [1984, 1984]
Archer Mike, LSU (DC/DB), hc, [1985, 1986]
Archer Mike, LSU, hc, [1987, 1990]
Archer Mike, Virginia (LB), lb, [1991, 1992]
Archer Mike, Kentucky (DB/LB), db, [1993, 1994]
Archer Mike, Kentucky (AHC/DB/LB), hc, [1995, 1995]
Archer Mike, Pittsburgh Steelers (LB), lb, [1996, 2002]
Archer Mike, Kentucky (DC), dc, [2003, 2006]
Archer Mike, NC State (DC), dc, [2007, 2012]
Archer Mike, Virginia (Def Asst), dl, [2014, -1]
Arians Bruce, Virginia Tech (graduate assistant), ga, [1975, 1977]
Arians Bruce, Mississippi State (RB/WR), rb, [1978, 1980]
Arians Bruce, Alabama (RB), rb, [1981, 1982]
Arians Bruce, Temple (head coach), hc, [1983, 1988]
Arians Bruce, Kansas City Chiefs (RB), rb, [1989, 1992]
Arians Bruce, Mississippi State (OC), oc, [1993, 1995]
Arians Bruce, New Orleans Saints (TE), hc, [1996, 1996]
Arians Bruce, Alabama (OC), oc, [1997, 1997]
Arians Bruce, Indianapolis Colts (QB), qb, [1998, 2000]
Arians Bruce, Cleveland Browns (OC), oc, [2001, 2003]
Arians Bruce, Pittsburgh Steelers (WR), wr, [2004, 2006]
Arians Bruce, Pittsburgh Steelers (OC), oc, [2007, 2011]
Arians Bruce, Indianapolis Colts (OC/interim HC), hc, [2012, 2012]
Arians Bruce, Arizona Cardinals (head coach), hc, [2013, -1]
Arico Larry, Fairleigh DickinsonFlorham, hc, [1997, 1999]
Arico Larry, William Paterson, hc, [2000, 2004]
