Arnold Dave, Midland HS (MI) (assistant), ga, [1968, 1972]
Arnold Dave, Alma HS (MI) (assistant), ga, [1973, 1973]
Arnold Dave, Alma HS (MI), hc, [1974, 1979]
Arnold Dave, Michigan State (OL), ol, [1980, 1981]
Arnold Dave, Montana State (OL), ol, [1982, 1982]
Arnold Dave, Montana State, hc, [1983, 1986]
Arnold Dave, Washington State (ST/OL), st, [1987, 1988]
Arnold Dave, Miami (FL) (ST/RB), st, [1989, 1994]
Arnold Dave, Seattle Seahawks (ST), st, [1995, 1997]
Arnold Dave, Albion (assistant), ga, [1999, 2004]
Arnold Dave, Colorado State (assistant), ga, [2005, 2007]
Arnsparger Bill, Miami (OH) (assistant), ga, [1950, 1950]
Arnsparger Bill, Ohio State (assistant), ga, [1951, 1953]
Arnsparger Bill, Kentucky (OL), ol, [1954, 1961]
Arnsparger Bill, Tulane (assistant), ga, [1962, 1963]
Arnsparger Bill, Baltimore Colts (DL), dl, [1964, 1969]
Arnsparger Bill, Miami Dolphins (DC/LB), dc, [1970, 1972]
Arnsparger Bill, Miami Dolphins (AHC/DC), hc, [1973, 1973]
Arnsparger Bill, New York Giants, hc, [1974, 1976]
Arnsparger Bill, Miami Dolphins (AHC/DC), hc, [1976, 1983]
Arnsparger Bill, LSU, hc, [1984, 1986]
Arnsparger Bill, San Diego Chargers (DC), dc, [1992, 1994]
Arslanian Dave, Snow College, hc, [-1, -1]
Arslanian Dave, Weber State, hc, [1989, 1997]
Arslanian Dave, Utah State, hc, [1998, 1999]
Asberry Darrell, Jackson State (OC), oc, [2001, 2002]
Asberry Darrell, Coahoma CC (OC), oc, [2003, 2003]
Asberry Darrell, NCCU (OC/QB), oc, [2004, 2004]
Asberry Darrell, NCCU (AHC/OC/QB), hc, [2005, 2005]
Asberry Darrell, Shaw, hc, [2006, 2011]
Asberry Darrell, Texas Southern, hc, [2012, -1]
Ash Rob, Cornell (IA) (assistant), ga, [1976, 1979]
Ash Rob, Juniata, hc, [1980, 1988]
Ash Rob, Drake, hc, [1989, 2006]
Ash Rob, Montana State, hc, [2007, -1]
Audino John, Albany (ST), st, [1975, 1976]
Audino John, Columbia (assistant), ga, [1977, 1981]
Audino John, Kentucky (TE), hc, [1982, 1982]
Audino John, Union (NY) (OC), oc, [1983, 1985]
Audino John, Penn (WR/QB), wr, [1986, 1989]
Audino John, Kean, hc, [1990, 1991]
Audino John, Union (NY), hc, [1992, -1]
Ault Chris, Churchill County HS (NV) (assistant), ga, [1968, 1968]
Ault Chris, Bishop Manogue HS (NV), hc, [1969, 1971]
Ault Chris, Reno HS (NV), hc, [1972, 1972]
Ault Chris, UNLV (assistant), ga, [1973, 1975]
Ault Chris, Nevada, hc, [1976, 1992]
Ault Chris, Nevada, hc, [1994, 1995]
Ault Chris, Nevada, hc, [2004, 2012]
Ault Chris, Kansas City Chiefs (consultant), hc, [2013, -1]
Austin Kent, Ottawa Renegades (QB), qb, [2003, 2003]
Austin Kent, Toronto Argonauts (OC), oc, [2004, 2006]
Austin Kent, Saskatchewan Roughriders, hc, [2007, 2007]
Austin Kent, University of Mississippi (OC), oc, [2008, 2010]
Austin Kent, Cornell University, hc, [2010, 2012]
Austin Kent, Hamilton Tiger-Cats, hc, [2013, -1]
Avery Wendell, Macalester (QB/WR), qb, [1982, 1983]
Avery Wendell, Winona State (OC), oc, [1990, 1991]
Avery Wendell, Alabama A&M (QB/WR), qb, [1992, 1993]
Avery Wendell, Savannah State (OC), oc, [1994, 1994]
Avery Wendell, Savannah State, hc, [1995, 1996]
Avery Wendell, Fort Valley State (QB), qb, [1998, 1998]
Avery Wendell, Tampa Bay Buccaneers (OA), hc, [1999, 2000]
Awrey Randy, Kentucky Wesleyan, hc, [1990, 1994]
Awrey Randy, Lakeland (WI), hc, [1994, 1999]
Awrey Randy, Saginaw Valley State, hc, [1999, 2007]
Axman Steve, MacArthur HS (NY), hc, [1973, 1973]
Axman Steve, East Stroudsburg (DL), dl, [1974, 1974]
Axman Steve, Albany State (OL), ol, [1975, 1975]
Axman Steve, Army (assistant), ga, [1976, 1978]
Axman Steve, Illinois (assistant), ga, [1979, 1979]
Axman Steve, Arizona (OC/QB), oc, [1980, 1984]
Axman Steve, Denver Gold (OL), ol, [1985, 1985]
Axman Steve, Stanford (OL), ol, [1986, 1986]
Axman Steve, UCLA (OC/QB), oc, [1987, 1987]
Axman Steve, UCLA (OC/OL), oc, [1988, 1988]
Axman Steve, Maryland (QB), qb, [1989, 1989]
Axman Steve, Northern Arizona, hc, [1990, 1997]
Axman Steve, Minnesota (QB), qb, [1998, 1998]
Axman Steve, Washington (QB), qb, [1999, 2000]
Axman Steve, Washington (AHC/QB), hc, [2001, 2002]
Axman Steve, UCLA (OC/QB), oc, [2003, 2003]
Axman Steve, Washington (WR), wr, [2004, 2004]
Axman Steve, Montana (QB), qb, [2006, 2006]
Axman Steve, Idaho (OC/TE), oc, [2007, 2009]
Axman Steve, Idaho (OC/QB), oc, [2010, 2011]
Axman Steve, Simon Fraser (QB), qb, [2013, 2013]
Axman Steve, Nicholls State (interim), hc, [2014, -1]
Ayers Mike, Georgetown (KY) (assistant), ga, [1974, 1974]
Ayers Mike, Georgetown (KY) (DC), dc, [1975, 1975]
Ayers Mike, Newberry (assistant), ga, [1976, 1978]
Ayers Mike, Richmond (assistant), ga, [1979, 1979]
Ayers Mike, Wofford (assistant), ga, [1980, 1982]
Ayers Mike, East Tennessee State (DC), dc, [1983, 1984]
Ayers Mike, East Tennessee State, hc, [1985, 1987]
Ayers Mike, Wofford, hc, [1988, -1]
Babers Dino, Hawaii (GA), ga, [1984, 1984]
Babers Dino, Arizona State (GA), ga, [1985, 1985]
Babers Dino, Eastern Illinois (RB), rb, [1987, 1987]
Babers Dino, UNLV (ST/RB), st, [1988, 1989]
Babers Dino, Northern Arizona (ST), st, [1990, 1990]
Babers Dino, Purdue (WR), wr, [1991, 1993]
Babers Dino, San Diego State (WR), wr, [1994, 1994]
Babers Dino, Arizona (WR/RB/QB), wr, [1995, 1997]
Babers Dino, Arizona (OC/QB), oc, [1998, 2000]
Babers Dino, Texas A&M (OC/QB), oc, [2001, 2002]
Babers Dino, Pittsburgh (RB), rb, [2003, 2003]
Babers Dino, UCLA (asst. HC/RB/QB), hc, [2004, 2007]
Babers Dino, Baylor (WR), wr, [2008, 2008]
Babers Dino, Baylor (ST/WR), st, [2009, 2011]
Babers Dino, Eastern Illinois, hc, [2012, 2013]
Babers Dino, Bowling Green, hc, [2014, -1]
Babich Bob, Tulsa (GA), ga, [1984, 1984]
Babich Bob, Tulsa (OL/TE/S), ol, [1985, 1987]
Babich Bob, Wisconsin (OL), ol, [1988, 1989]
Babich Bob, Tulsa (volunteer OL), hc, [1990, 1990]
Babich Bob, Bowling Green (ILB), hc, [1991, 1991]
Babich Bob, East Carolina (ILB), hc, [1992, 1993]
Babich Bob, Pittsburgh (LB), lb, [1994, 1995]
Babich Bob, Pittsburgh (LB/ST), lb, [1996, 1996]
Babich Bob, North Dakota State, hc, [1997, 2002]
Babich Bob, St. Louis Rams (LB), lb, [2003, 2003]
Babich Bob, Chicago Bears (LB), lb, [2004, 2005]
Babich Bob, Chicago Bears (assistant HC/LB), ga, [2006, 2006]
Babich Bob, Chicago Bears (DC), dc, [2007, 2008]
Babich Bob, Chicago Bears (DC/LB), dc, [2009, 2009]
Babich Bob, Chicago Bears (LB), lb, [2010, 2012]
Babich Bob, Jacksonville Jaguars (DC), dc, [2013, -1]
Baer Kent, Yokosuka Seahawks, hc, [1973, 1976]
Bagnoli Al, Albany (GA), ga, [1975, 1975]
Bagnoli Al, Albany (DC), dc, [1976, 1977]
Bagnoli Al, Union (DC), dc, [1978, 1981]
Bagnoli Al, Union, hc, [1982, 1991]
