Cowdrey Charlie, Fort Scott CC, hc, [1977, 1980]
Cowdrey Charlie, Illinois State, hc, [1983, 1991]
Cowdrey Charlie, Southwestern, hc, [1993, 1995]
Cowdrey Charlie, Morningside, hc, [-1, -1]
Cozza Carmen, Miami OH (assistant), ga, [1956, 1962]
Cozza Carmen, Yale (assistant), ga, [1963, 1964]
Cozza Carmen, Yale, hc, [1965, 1996]
Craddock Bruce, Truman State, hc, [1979, 1982]
Craddock Bruce, Western Illinois, hc, [1983, 1989]
Craft Tom, Palomar (assistant), ga, [1977, 1982]
Craft Tom, Palomar, hc, [1983, 1993]
Craft Tom, San Diego State, hc, [1994, 1996]
Craft Tom, Palomar, hc, [1997, 2001]
Craft Tom, San Diego State (OC/QB), oc, [2002, 2005]
Craft Tom, Mt. San Antonio (AHC/OC/QB), hc, [2007, 2009]
Craft Tom, Riverside City, hc, [2010, -1]
Crandall Ken, Pittsburg State (GA), ga, [1991, 1991]
Crandall Ken, Maine Maritime (assistant), ga, [1992, 1993]
Crandall Ken, Norwich (OC), oc, [1994, 1995]
Crandall Ken, MinnesotaMorris (OC), oc, [1996, 1997]
Crandall Ken, MinnesotaMorris, hc, [1998, 2006]
Crandall Ken, Southwestern (KS), hc, [2007, -1]
Craven Michael Mike, Saint Xavier, hc, [1993, 1998]
Creehan Dennis Denny, Keystone Oaks HS (PA) (assistant), ga, [1971, 1973]
Creehan Dennis Denny, Pittsburgh (GA), ga, [1974, 1974]
Creehan Dennis Denny, Carnegie Mellon (OC), oc, [1975, 1975]
Creehan Dennis Denny, Edinboro (DC), dc, [1976, 1978]
Creehan Dennis Denny, Edinboro, hc, [1979, 1984]
Creehan Dennis Denny, Edmonton Eskimos (ST), st, [1985, 1986]
Creehan Dennis Denny, California (ST), st, [1987, 1989]
Creehan Dennis Denny, San Francisco State, hc, [1990, 1990]
Creehan Dennis Denny, Edmonton Eskimos (ST), st, [1991, 1991]
Creehan Dennis Denny, South Dakota, hc, [1992, 1996]
Creehan Dennis Denny, Arkansas State (DC), dc, [1997, 1997]
Creehan Dennis Denny, Rutgers (DC), dc, [1998, 2000]
Creehan Dennis Denny, Duke (ILB/ST), hc, [2001, 2002]
Creehan Dennis Denny, Army (ST), st, [2003, 2003]
Creehan Dennis Denny, Calgary Stampeders (DC), dc, [2004, 2007]
