Grieb Mark, Stanford (GA), ga, [2000, 2001]
Grieb Mark, Menlo College (OC), oc, [2003, 2003]
Grieb Mark, Monterey Peninsula College (Asst), hc, [-1, -1]
Grieb Mark, Foothill College (Asst), hc, [-1, -1]
Grieb Mark, Menlo College (WR), wr, [2011, 2011]
Grieb Mark, Menlo College, hc, [2013, -1]
Griffin Bob, Idaho State, hc, [1972, 1975]
Griffin Bob, Rhode Island, hc, [1976, 1992]
Griffin Matt, Plymouth State (QB), qb, [1992, 1992]
Griffin Matt, Plymouth State (OC/QB), oc, [1993, 1993]
Griffin Matt, Richmond (WR), wr, [1994, 1994]
Griffin Matt, Northeastern (assistant), ga, [1995, 1996]
Griffin Matt, UT Martin (OC/QB/WR), oc, [1997, 1998]
Griffin Matt, Maine (TE), hc, [1999, 1999]
Griffin Matt, Maine (OL), ol, [2000, 2001]
Griffin Matt, Maine (OL/RC), ol, [2002, 2002]
Griffin Matt, UT Martin, hc, [2003, 2005]
Griffin Matt, Murray State, hc, [2006, 2009]
Griffin Matt, Jacksonville Jaguars (OA), hc, [2010, 2010]
Griffin Matt, Jacksonville Jaguars (OQC), hc, [2011, -1]
Grobe Jim, Virginia (GA), ga, [1975, 1975]
Grobe Jim, Liberty HS (Bedford, VA), hc, [1976, 1977]
Grobe Jim, Emory & Henry (LB), lb, [1978, 1978]
Grobe Jim, Marshall (LB), lb, [1979, 1983]
Grobe Jim, Air Force (LB), lb, [1984, 1994]
Grobe Jim, Ohio, hc, [1995, 2000]
Grobe Jim, Wake Forest, hc, [2001, 2013]
Groh Al, Albemarle HS (OC), oc, [1967, 1967]
Groh Al, Army (Freshman DC), hc, [1968, 1969]
Groh Al, Virginia (Freshmen), hc, [1970, 1970]
Groh Al, Virginia (DL), dl, [1971, 1972]
Groh Al, North Carolina (LB), lb, [1973, 1977]
Groh Al, Air Force (DC), dc, [1978, 1979]
Groh Al, Texas Tech (LB), lb, [1980, 1980]
Groh Al, Wake Forest, hc, [1981, 1986]
Groh Al, Atlanta Falcons (TE/ST), hc, [1987, 1987]
Groh Al, South Carolina (OC), oc, [1988, 1988]
Groh Al, New York Giants (LB), lb, [1989, 1990]
Groh Al, New York Giants (DC), dc, [1991, 1991]
Groh Al, Cleveland Browns (LB), lb, [1992, 1992]
Groh Al, New England Patriots (DC/LB), dc, [1993, 1996]
Groh Al, New York Jets (LB), lb, [1997, 1999]
Groh Al, New York Jets, hc, [2000, 2000]
Groh Al, Virginia, hc, [2001, 2009]
Groh Al, Georgia Tech (DC), dc, [2010, 2012]
Grossner Mike, Baker, hc, [2004, -1]
Gundy Mike, Oklahoma State (WR), wr, [1990, 1990]
Gundy Mike, Oklahoma State (QB), qb, [1991, 1993]
Gundy Mike, Oklahoma State (OC/QB), oc, [1994, 1995]
Gundy Mike, Baylor (QB), qb, [1996, 1996]
Gundy Mike, Maryland (WR), wr, [1997, 2000]
Gundy Mike, Oklahoma State (OC), oc, [2001, 2004]
Gundy Mike, Oklahoma State, hc, [2005, -1]
Guy Brent, Oklahoma State (GA), ga, [1986, 1987]
Guy Brent, Oklahoma State (RC), hc, [1988, 1988]
Guy Brent, Oklahoma State (LB), lb, [1989, 1991]
Guy Brent, Utah State (LB), lb, [1992, 1994]
Guy Brent, Oklahoma State (LB), lb, [1995, 1997]
Guy Brent, Boise State (DC), dc, [1998, 2000]
Guy Brent, Arizona State (DC), dc, [2001, 2004]
Guy Brent, Utah State, hc, [2005, 2008]
Guy Brent, Louisville (LB), lb, [2009, 2009]
Guy Brent, UNLV (LB), lb, [2010, 2010]
Guy Brent, Tulsa (DC/LB), dc, [2011, -1]
Hackett Paul, UC Davis (assistant freshman), ga, [1969, 1969]
Hackett Paul, UC Davis (freshman), hc, [1970, 1971]
Hackett Paul, California (GA), ga, [1972, 1973]
Hackett Paul, California (QB), qb, [1974, 1975]
Hackett Paul, USC (QB/WR), qb, [1976, 1977]
Hackett Paul, USC (QB/PGC), qb, [1978, 1980]
Hackett Paul, Cleveland Browns (QB), qb, [1981, 1982]
Hackett Paul, San Francisco 49ers (QB/WR/TE), qb, [1983, 1985]
Hackett Paul, Dallas Cowboys (PGC), hc, [1986, 1988]
Hackett Paul, Pittsburgh (OC/QB), oc, [1989, 1989]
Hackett Paul, Pittsburgh, hc, [1989, 1992]
Hackett Paul, Kansas City Chiefs (OC), oc, [1993, 1997]
Hackett Paul, USC, hc, [1998, 2000]
Hackett Paul, New York Jets (OC), oc, [2001, 2004]
Hackett Paul, Tampa Bay Buccaneers (QB), qb, [2005, 2007]
Hackett Paul, Oakland Raiders (special projects), hc, [2008, 2008]
Hackett Paul, Oakland Raiders (QB), qb, [2009, 2010]
Hager R.E. Rocky, North Dakota State (assistant), ga, [1979, 1979]
Hager R.E. Rocky, Morningside (DL), dl, [1980, 1980]
Hager R.E. Rocky, Augustana (SD) (DC), dc, [1981, 1984]
Hager R.E. Rocky, North Dakota State (DC/LB), dc, [1985, 1986]
Hager R.E. Rocky, North Dakota State, hc, [1987, 1996]
Hager R.E. Rocky, Temple (assistant), ga, [1997, 2003]
Hager R.E. Rocky, Northeastern, hc, [2004, 2009]
Hager R.E. Rocky, Bryant (DL), dl, [2012, 2012]
Hager R.E. Rocky, TCNJ (assistant HC), ga, [2013, -1]
Hall Galen, West Virginia (Asst./TEs), hc, [1964, 1965]
Hall Galen, Oklahoma (Asst./WRs), hc, [1966, 1972]
Hall Galen, Oklahoma (OC), oc, [1973, 1983]
Hall Galen, Florida (OC), oc, [1984, 1984]
Hall Galen, Florida, hc, [1984, 1989]
Hall Galen, Orlando Thunder (OC), oc, [1991, 1991]
Hall Galen, Orlando Thunder, hc, [1992, 1992]
Hall Galen, Charlotte Rage, hc, [1994, 1994]
Hall Galen, Rhein Fire, hc, [1995, 2000]
Hall Galen, Orlando Rage, hc, [2001, 2001]
Hall Galen, Dallas Cowboys (RB), rb, [2002, 2002]
Hall Galen, Penn State (OC/RB), oc, [2004, 2011]
Hall Skip, Kent State (assistant), ga, [1971, 1974]
Hall Skip, Washington (assistant), ga, [1975, 1986]
Hall Skip, Boise State, hc, [1987, 1992]
Hall Skip, Missouri (assistant), ga, [1993, 1997]
Hallman Curley, Alabama (assistant), ga, [1973, 1976]
Hallman Curley, Clemson (LB), lb, [1979, 1980]
Hallman Curley, Clemson (DB), db, [1981, 1981]
Hallman Curley, Texas A&M (DB), db, [1982, 1987]
Hallman Curley, Southern Miss, hc, [1988, 1990]
Hallman Curley, LSU, hc, [1991, 1994]
Hallman Curley, Muscle Shoals HS (AL), hc, [2004, 2007]
Hameline Walt, Wagner, hc, [1981, -1]
Hamilton Paul, The Citadel (WR), wr, [1981, 1981]
Hamilton Paul, East Tennessee State (WR), wr, [1983, 1983]
Hamilton Paul, East Tennessee State (QB), qb, [1984, 1987]
Hamilton Paul, Wofford (OC/QB), oc, [1988, 1989]
Hamilton Paul, Air Force (OC/WR), oc, [1990, 1996]
Hamilton Paul, East Tennessee State, hc, [1997, 2003]
Hamilton Paul, Elon, hc, [2004, 2005]
Hamilton Paul, Brevard, hc, [2007, -1]
Hand Jeff, Waynesburg (DL), dl, [1992, 1992]
Hand Jeff, Hanover (DL), dl, [1993, 1993]
Hand Jeff, Hanover (LB/ST), lb, [1994, 1997]
Hand Jeff, Benedictine (IL) (DC), dc, [1998, 1998]
Hand Jeff, Benedictine (IL), hc, [1999, 2000]
Hand Jeff, Waynesburg, hc, [2001, 2004]
Hand Jeff, Westminster (PA), hc, [2005, 2013]
Hand Jeff, Amiens Spartiates, hc, [2014, -1]
Hankwitz Mike, Michigan (GA), ga, [1970, 1972]
Hankwitz Mike, Arizona (assistant), ga, [1973, 1976]
Hankwitz Mike, Purdue (assistant), ga, [1977, 1981]
Hankwitz Mike, Western Michigan (DC), dc, [1982, 1984]
Hankwitz Mike, Colorado (DC), dc, [1985, 1994]
Hankwitz Mike, Kansas (DC), dc, [1995, 1996]
Hankwitz Mike, Texas A&M (DC), dc, [1997, 2002]
Hankwitz Mike, Arizona (DC/interim HC), dc, [2003, 2003]
Hankwitz Mike, Colorado (DC/interim HC), dc, [2004, 2005]
Hankwitz Mike, Wisconsin (DC), dc, [2006, 2007]
Hankwitz Mike, Northwestern (DC/S), dc, [2008, -1]
Harbaugh Jack, Eaton HS (OH), hc, [1964, 1965]
Harbaugh Jack, Xenia HS (OH), hc, [1966, 1966]
Harbaugh Jack, Morehead State (assistant), ga, [1967, 1967]
