Kill Jerry, Pittsburg State (DC), dc, [1985, 1987]
Kill Jerry, Webb City HS (MO), hc, [1988, 1990]
Kill Jerry, Pittsburg State (OC), oc, [1991, 1993]
Kill Jerry, Saginaw Valley State, hc, [1994, 1998]
Kill Jerry, Emporia State, hc, [1999, 2000]
Kill Jerry, Southern Illinois, hc, [2001, 2007]
Kill Jerry, Northern Illinois, hc, [2008, 2010]
Kill Jerry, Minnesota, hc, [2011, -1]
Kincaid Al, Giles HS (VA), hc, [1971, 1973]
Kincaid Al, Alabama (GA / JV OB), ga, [1974, 1975]
Kincaid Al, East Carolina (OC), oc, [1976, 1979]
Kincaid Al, Wyoming (OC), oc, [1980, 1980]
Kincaid Al, Wyoming, hc, [1981, 1985]
Kincaid Al, Alabama (RC), hc, [1989, 1989]
Kincaid Al, Arkansas State, hc, [1990, 1991]
Kincaid Al, Temple (AHC/OC), hc, [1998, -1]
Kines Joe, Jacksonville State (Asst. HC/DC), hc, [1976, 1976]
Kines Joe, Clemson (LB), lb, [1977, 1978]
Kines Joe, Florida (LB/DC), lb, [1979, 1984]
Kines Joe, Alabama (LB/DC), lb, [1985, 1986]
Kines Joe, Tampa Bay Buccaneers (LB), lb, [1987, 1990]
Kines Joe, Arkansas (DC), dc, [1991, 1992]
Kines Joe, Arkansas (interim HC), hc, [1992, 1992]
Kines Joe, Arkansas (Asst. HC/DC), hc, [1993, 1994]
Kines Joe, Georgia (Asst. HC/DC/DE), hc, [1995, 1999]
Kines Joe, Florida State (LB), lb, [2000, 2002]
Kines Joe, Alabama (DC), dc, [2003, 2006]
Kines Joe, Alabama (interim HC), hc, [2006, 2006]
Kines Joe, Texas A&M (DC), dc, [2008, 2009]
Kingsbury Kliff, Houston (OQC), hc, [2008, 2009]
Kingsbury Kliff, Houston (Co-OC/QB), oc, [2010, 2011]
Kingsbury Kliff, Texas A&M (OC/QB), oc, [2012, 2012]
Kingsbury Kliff, Texas Tech, hc, [2013, -1]
Kirby Marion, Greensboro, hc, [1997, 2001]
Kish Tim, Mariemont HS (Assistant), ga, [1976, 1977]
Kish Tim, Bowling Green (GA), ga, [1978, 1978]
Kish Tim, Purdue (Asst. DB), hc, [1979, 1981]
Kish Tim, Ball State (QB), qb, [1982, 1982]
Kish Tim, Ball State (DL), dl, [1983, 1983]
Kish Tim, Army (DE/OLB), dl, [1984, 1991]
Kish Tim, Northwestern (DE/LB), dl, [1992, 1996]
Kish Tim, Illinois (DC/LB), dc, [1997, 2000]
Kish Tim, Ohio (DC/LB), dc, [2001, 2001]
Kish Tim, Indiana (DC/LB), dc, [2002, 2003]
Kish Tim, Arizona (LB), lb, [2004, 2006]
Kish Tim, Arizona (Assistant/LB), ga, [2007, 2009]
Kish Tim, Arizona (Co-DC/LB), dc, [2010, 2010]
Kish Tim, Arizona (Interim HC/DC/LB), hc, [2011, 2011]
Kish Tim, Oklahoma (LB), lb, [2012, -1]
Klika Jr. William Bill, , hc, [-1, -1]
Klika Jr. William Bill, Fairleigh DickinsonFlorham, hc, [1974, 1996]
Klika Jr. William Bill, Fairleigh DickinsonFlorham, hc, [2000, 2001]
Klika Jr. William Bill, , hc, [-1, -1]
Klika Jr. William Bill, , hc, [-1, -1]
