Vail Louis D., Illinois, hc, 1894, 1894
Valek Jim, Illinois, hc, 1967, 1970
Valesente Bob, Kansas, hc, 1986, 1987
Valpey Arthur L., Harvard (MA), hc, 1948, 1949
Valpey Arthur L., Connecticut, hc, 1950, 1951
Van Cleave Ira, Fort Hays St. (KS), hc, 1913, 1914
Van Cleve Whitney L., Tuskegee (AL), hc, 1955, 1963
Van Cleve Whitney L., Alabama St., hc, 1964, 1968
Van Cleve Whitney L., Hampton (VA), hc, 1969, 1973
Van Diest Mike, Carroll (MT), hc, 2013, 2013
Van Gent Conrad Eugene, Texas, hc, 1916, 1916
Van Gent Conrad Eugene, California-Davis, hc, 1920, 1920
Van Gent Conrad Eugene, Stanford (CA), hc, 1921, 1921
van Hoevenberg Henry W., Rutgers (NJ), hc, 1902, 1902
Van Surdam Henderson E., Sewanee (TN), hc, 1908, 1908
Van Surdam Henderson E., Texas-El Paso, hc, 1920, 1920
VanCleave A.R., Elon (NC), hc, 1926, 1926
Vandergriff Jerry, Angelo St. (TX), hc, 1982, 2004
Vanderlinden Ron, Maryland, hc, 1997, 2000
VanFleet J.A., Florida, hc, 1923, 1924
VanGorder Brian, Georgia Southern, hc, 2006, 2006
Vann Thad "Pie", Southern Mississippi, hc, 1949, 1968
Vansant Henry, Lenoir-Rhyne (NC), hc, 1980, 1983
Varnell George, Gonzaga (WA), hc, 1908, 1911
Varner Alphonso, Fort Valley St. (GA), hc, 1960, 1962
Varner Henry H., Virginia, hc, 1915, 1915
Varney Sid, Elon (NC), hc, 1953, 1959
Vasconcellos Hank, Hawaii, hc, 1952, 1960
Vaughan Harry, Ohio St., hc, 1911, 1911
Vaughan Harry, Fordham (NY), hc, 1915, 1915
Vaughan James A., Lake Forest (IL), hc, 1905, 1906
Vaughan Robert E. "Pete", Wabash (IN), hc, 1919, 1945
Vaughn Ray L., Morehouse (GA), hc, 1931, 1932
Vaught John H., Mississippi, hc, 1947, 1973
Vaught Roscoe C., Kentucky St., hc, 1927, 1927
Veazie Wildes P., Maine, hc, 1893, 1893
Veenker George F., Iowa St., hc, 1931, 1936
Vehmeier John, North Dakota, hc, 1912, 1912
Veidt Tyson, Bluffton (OH), hc, 2008, 2013
Velander Len & Gronseth Luther, Augsburg (MN), hc, 1945, 1945
Velez Paul E., Indianapolis (IN), hc, 1962, 1966
Veller Donald A. "Don", Hanover (IN), hc, 1946, 1946
Veller Donald A. "Don", Florida St., hc, 1948, 1952
Venturi Rick, Northwestern (IL), hc, 1978, 1980
Verdell Thomas "Tom", Howard (DC), hc, 1929, 1933
Verducci Joe, Saint Mary's (CA), hc, 1948, 1949
Verdugo Kevin, Fort Hays St. (KS), hc, 2005, 2010
Vermeil Dick, UCLA, hc, 1974, 1975
Vesser John, Idaho St., hc, 1941, 1951
Viator Matt, McNeese St. (LA), hc, 2006, 2013
Villarrial Chris, Saint Francis (PA), hc, 2010, 2013
Vinal W.G., Marshall (WV), hc, 1908, 1908
Vincent Frank, Glenville St. (WV), hc, 1980, 1986
Vincent Joe, Lamar (TX), hc, 1926, 1926
Vincent John, Fort Hays St. (KS), hc, 1985, 1989
Vinci Andy, San Diego (CA), hc, 1972, 1973
Vlcko Aaron, Truman St. (MO), hc, 2009, 2009
Vogel Oliver, Saint Francis (PA), hc, 1915, 1915
Voigts Robert W. "Bob", Northwestern (IL), hc, 1947, 1954
Volek John, Cal St.-Sacramento, hc, 1995, 2002
Voltmer Carl D. "Jerry", Central Missouri St., hc, 1935, 1943
Von Lehsten A.R., Clarion (PA), hc, 1926, 1926
vonAppen Fred, Hawaii, hc, 1996, 1998
Voris Jeff, Butler (IN), hc, 2006, 2013
Voris Richard "Dick", Virginia, hc, 1958, 1960
Vosburgh Paul, Saint John Fisher (NY), hc, 2013, 2013
Vowell Jack C., Texas-El Paso, hc, 1922, 1923
Voyles Carl M., William & Mary (VA), hc, 1939, 1942
Voyles Carl M., Auburn (AL), hc, 1944, 1947
Wable Kenneth E. "Ken", Mount Union (OH), hc, 1962, 1985
Wacker Jim, North Dakota St., hc, 1976, 1978
Wacker Jim, Texas St., hc, 1979, 1982
Wacker Jim, Texas Christian, hc, 1983, 1991
Wacker Jim, Minnesota, hc, 1992, 1996
Waddle Andy, Marietta (OH), hc, 2013, 2013
Wade Don, Tennessee Tech, hc, 1968, 1982
Wade Frank E., DePauw (IN), hc, 1895, 1895
Wade Frank E., Syracuse (NY), hc, 1897, 1899
Wade Maurice "Red", Truman St. (MO), hc, 1951, 1966
Wade Wallace W., Alabama, hc, 1923, 1930
Wade Wallace W., Duke (NC), hc, 1931, 1950
Wagenhurst E.O., Pennsylvania, hc, 1888, 1891
Wagner Bob, Hawaii, hc, 1987, 1995
Wagner Dennis, Western Carolina (NC), hc, 2008, 2011
Wagner Herbert "Hub", Carthage (WI), hc, 1936, 1942
Wagner Ken, Carthage (WI), hc, 1983, 1984
Wagner Will, Angelo St. (TX), hc, 2011, 2013
WagnerJulius F. "Wag", Colorado St., hc, 1942, 1946
Wagoner Merle E., Kent St. (OH), hc, 1925, 1932
Wagonhurst Otto, Alabama, hc, 1896, 1896
Wagonhurst Otto, Iowa, hc, 1897, 1897
Waialae Roger, West Liberty St. (WV), hc, 2005, 2013
Waide Pop & Williamson K., Cedarville (OH), hc, 1908, 1908
Waite W.W., Washington St., hc, 1895, 1895
Walden H.E., Louisiana College, hc, 1923, 1936
Walden Jim, Washington St., hc, 1978, 1986
Walden Jim, Iowa St., hc, 1987, 1994
Walder George, Cornell (NY), hc, 1909, 1909
Waldorf Lynn O. "Pappy", Oklahoma St., hc, 1929, 1933
Waldorf Lynn O. "Pappy", Kansas St., hc, 1934, 1934
Waldorf Lynn O. "Pappy", Northwestern (IL), hc, 1935, 1946
Waldorf Lynn O. "Pappy", California, hc, 1947, 1956
Waldorf Paul D., Fort Hays St. (KS), hc, 1936, 1941
Walker Coach, Duquesne (PA), hc, 1899, 1899
Walker Curtis, Catawba (NC), hc, 2013, 2013
Walker D.H., Lawrence (WI), hc, 1893, 1893
Walker DeWayne, UCLA, hc, 2007, 2007
Walker DeWayne, New Mexico St., hc, 2009, 2012
Walker Douglas Clyde "Pea Head", Atlantic Christian (NC), hc, 1926, 1926
Walker Douglas Clyde "Pea Head", Elon (NC), hc, 1927, 1936
Walker Douglas Clyde "Pea Head", Wake Forest (NC), hc, 1937, 1950
Walker Ed, Mississippi, hc, 1930, 1937
Walker Erskine "Bub", Samford (AL), hc, 1944, 1945
Walker Fred M., Utah St., hc, 1907, 1908
Walker Fred M., DePauw (IN), hc, 1921, 1921
Walker Fred M., Wheaton (IL), hc, 1936, 1939
Walker Gerald T., Lane (TN), hc, 1966, 1971
Walker Hilman B., Arizona St., hc, 1942, 1942
Walker J. Norman, Wofford (SC), hc, 1901, 1901
Walker Jack, Louisiana College, hc, 1939, 1939
Walker James, Kentucky St., hc, 1985, 1985
Walker James J. "Big Jim", Central St. (OH), hc, 1957, 1973
Walker John, Southern California, hc, 1903, 1903
Walker L.T., Prairie View A&M; (TX), hc, 1944, 1944
Walker Matt, DePauw (IN), hc, 2006, 2008
Walker Matt, Wisconsin-River Falls, hc, 2013, 2013
Walker Ordell, Bluefield College (VA), hc, 2013, 2013
Walker Ralph, Mesa St. (CO), hc, 1935, 1935
Walker Randy, Miami (OH), hc, 1990, 1998
Walker Randy, Northwestern (IL), hc, 1999, 2005
Walker Sam, Virginia Military Institute, hc, 1900, 1902
Walker Tom, Simon Fraser (BC), hc, 1972, 1972
Walker Wade, Mississippi St., hc, 1956, 1961
Walker Walter H., Charleston (WV), hc, 1934, 1935
Walkosky David, Tiffin (OH), hc, 2008, 2010
Wall Francis P., New York (NY), hc, 1917, 1917
Wall Harry, Richmond (VA), hc, 1904, 1904
Wallace Bobby, North Alabama, hc, 1988, 1997
Wallace Bobby, Temple (PA), hc, 1998, 2005
Wallace Bobby, West Alabama, hc, 2006, 2010
Wallace Bobby, North Alabama, hc, 2012, 2013
Wallace Cleo, Winston-Salem St. (NC), hc, 1970, 1975
Wallace Dwight, Ball St. (IN), hc, 1978, 1984
Wallace George, Fordham (NY), hc, 1885, 1885
Wallace Jack, Drake (IA), hc, 1965, 1976
Wallace James C. "Jim", Indianapolis (IN), hc, 1955, 1957
Wallace Jewell, Houston (TX), hc, 1946, 1947
Wallace John H., Rutgers (NJ), hc, 1924, 1926
Wallace Versie, Colorado School of Mines, hc, 1995, 1999
Wallace Vic, Lambuth (TN), hc, 1993, 2007
Wallace Vic, Rockford (IL), hc, 2011, 2013
Waller Bill, Southern Illinois, hc, 1950, 1951
Waller E.M., Middle Tennessee St., hc, 1933, 1934
Walsh Adam, Santa Clara (CA), hc, 1925, 1928
Walsh Bill, Stanford (CA), hc, 1977, 1994
Walsh Earl, Fordham (NY), hc, 1942, 1942
Walsh Mark, Aurora (IL), hc, 2013, 2013
Walsh Tim, Sonoma St. (CA), hc, 1989, 1992
Walsh Tim, Portland St. (OR), hc, 1993, 2006
Walsh Tim, Cal Poly-San Luis Obispo, hc, 2009, 2013
Walsh Tom, Idaho St., hc, 1997, 1998
Walton Joe, Robert Morris (PA), hc, 1994, 2013
Walton Johnnie, Elizabeth City St. (NC), hc, 1980, 1990
Walton W.I. "Bill", Ouachita Baptist (AR), hc, 1934, 1942
Wampfler Jerry, Colorado St., hc, 1970, 1972
Wann Norman "Happy", Ball St. (IN), hc, 1926, 1927
Wannstedt Dave, Pittsburgh (PA), hc, 2005, 2010
Wantland Charles W., Central Oklahoma, hc, 1912, 1930
Ward Bob, Maryland, hc, 1967, 1968
Ward Dallas "Dal", Colorado, hc, 1948, 1958
Ward G.B., New Hampshire, hc, 1904, 1904
Ward Jim, Buffalo (NY), hc, 1992, 1994
Ward Thurman R. "Jule", Charleston (WV), hc, 1937, 1941
Ward Van I., Kalamazoo (MI), hc, 1909, 1909
Ward William, Michigan, hc, 1896, 1896
Ware John, Truman St. (MO), hc, 1995, 2003
Ware John, Missouri Southern St., hc, 2004, 2005
Warlick Tom M., Lenoir-Rhyne (NC), hc, 1907, 1908
Warlick Tom M., Catawba (NC), hc, 1909, 1922
Warmack Dave, Kalamazoo (MI), hc, 1990, 1997
Warmath Murray, Mississippi St., hc, 1952, 1953
Warmath Murray, Minnesota, hc, 1954, 1971
Warner Chester "Pop", Cedarville (OH), hc, 1922, 1922
Warner Dave, Connecticut, hc, 1914, 1914
Warner Glenn Scobey "Pop", Iowa St., hc, 1895, 1895
Warner Glenn Scobey "Pop", Georgia, hc, 1896, 1896
Warner Glenn Scobey "Pop", Cornell (NY), hc, 1897, 1898
Warner Glenn Scobey "Pop", Carlisle Indian School (PA), hc, 1899, 1903
Warner Glenn Scobey "Pop", Cornell (NY), hc, 1904, 1906
Warner Glenn Scobey "Pop", Carlisle Indian School (PA), hc, 1907, 1914
Warner Glenn Scobey "Pop", Pittsburgh (PA), hc, 1915, 1923
Warner Glenn Scobey "Pop", Stanford (CA), hc, 1924, 1932
Warner Glenn Scobey "Pop", Temple (PA), hc, 1933, 1938
Warner S.R., Sam Houston St. (TX), hc, 1912, 1913
Warner William J. "Bill", Cornell (NY), hc, 1903, 1903
Warner William J. "Bill", North Carolina, hc, 1905, 1905
Warner William J. "Bill", Colgate (NY), hc, 1906, 1907
Warner William J. "Bill", Oregon, hc, 1910, 1911
Warren Bob, Bluffton (OH), hc, 1966, 1968
Warren John A., Oregon, hc, 1942, 1942
Warren Lester H., Amherst (MA), hc, 1900, 1900
Warren Rice, South Carolina, hc, 1916, 1916
Warren W. Rice, Virginia, hc, 1913, 1921
Wasem Bruce W., Virginia-Wise, hc, 2002, 2011
Washington "Cap", Howard (DC), hc, 1901, 1906
Washington Otis, Southern (LA), hc, 1981, 1986
Washington Richard K., Savannah St. (GA), hc, 1957, 1963
Washington Ulysses S., Delaware St., hc, 1965, 1966
Wasmund William S., Texas, hc, 1910, 1911
Wasylik Nick, Lake Forest (IL), hc, 1958, 1965
Waterbury Maurice, Kalamazoo (MI), hc, 1901, 1901
Waterman Hawley, Kean (NJ), hc, 1970, 1972
Waters Benny, North Carolina Central, hc, 1927, 1928
Waters Bertram G., Harvard (MA), hc, 1896, 1896
Waters Bob, Western Carolina (NC), hc, 1969, 1988
Waters Frank "Muddy", Saginaw Valley St. (MI), hc, 1975, 1979
Waters Frank "Muddy", Michigan St., hc, 1980, 1982
Watkins George L., Louisiana Tech, hc, 1907, 1907
Watkins Lamar, Ouachita Baptist (AR), hc, 1958, 1960
Watkins R.W. "Red", Appalachian St. (NC), hc, 1940, 1941
Watkins Walter Hudson "Billy", Auburn (AL), hc, 1900, 1900
Watkins Walter Hudson "Billy", Vanderbilt (TN), hc, 1901, 1902
Watkins William "Bill", California (PA), hc, 1941, 1941
Watson Bill, Henderson St. (AR), hc, 1919, 1919
Watson Dwight, Eastern Michigan, hc, 1899, 1899
Watson Harry T., Hamilton (NY), hc, 1905, 1905
Watson John W. "Jack", Utah St., hc, 1916, 1917
Watson Louis L., Howard (DC), hc, 1923, 1927
Watson Mike, North Park (IL), hc, 1973, 1974
Watson Ray H., West Virginia Tech, hc, 1957, 1959
Watson Shawn, Southern Illinois, hc, 1994, 1996
Watson William E., Hendrix (AR), hc, 1917, 1917
Watts Morris, Michigan St., hc, 2002, 2002
Watts R.N., Baylor (TX), hc, 1903, 1903
Watts Tom, Ohio Wesleyan, hc, 2013, 2013
Waugh Homer Roy, West Virginia Wesleyan, hc, 1904, 1906
Waugh Maury, Dubuque (IA), hc, 1969, 1974
Waugh Maury, Lake Forest (IL), hc, 1992, 1994
Way Charles, Dayton (OH), hc, 1921, 1921
Weatherbie Charlie, Utah St., hc, 1992, 1994
Weatherbie Charlie, Navy (MD), hc, 1995, 2001
Weatherbie Charlie, Louisiana-Monroe, hc, 2003, 2009
Weathersby Davis, Mississippi Valley St., hc, 1970, 1977
Weaver DeWitt T., Texas Tech, hc, 1951, 1960
Weaver Doug, Kansas St., hc, 1960, 1966
Weaver Doug, Southern Illinois, hc, 1974, 1975
Weaver J.R., West Virginia Tech, hc, 1921, 1921
Weaver J.R., Charleston (WV), hc, 1932, 1933
Weaver James C., Villanova (PA), hc, 1974, 1974
Weaver James H. "Jim", Wake Forest (NC), hc, 1933, 1936
Web Archie R., Baylor (TX), hc, 1905, 1905
Webb C.A., Kentucky Wesleyan, hc, 1926, 1926
Weber Bob, Arizona, hc, 1969, 1972
Weber Bob, Louisville (KY), hc, 1980, 1984
Weber E.L., Hanover (IN), hc, 1909, 1910
Weber Gustave, Susquehanna (PA), hc, 1965, 1965
Weber L.E. "Mutt", Middle Tennessee St., hc, 1911, 1912
Webster J.B., Henderson St. (AR), hc, 1905, 1905
Webster James, Tennessee St., hc, 2005, 2009
Wedgeworth Ray, Jacksonville St. (AL), hc, 1953, 1953
Weed Clarence, Akron (OH), hc, 1909, 1909
Weede Garfield W., Pittsburg St. (KS), hc, 1919, 1928
Weeks Bill, New Mexico, hc, 1960, 1967
Weeks Doctor, Massachusetts, hc, 1898, 1898
Weeks Harold "Harry", Kansas, hc, 1903, 1903
Weeks Harold "Harry", Beloit (WI), hc, 1904, 1904
Weidein William D. "Bill", Fort Hays St. (KS), hc, 1923, 1928
Weimer John W., Bloomsburg JV (PA), hc, 1911, 1911
Weimer John W., Bloomsburg (PA), hc, 1912, 1917
Weinheimer John J., New York (NY), hc, 1944, 1946
Weir Sam, Central Florida, hc, 1982, 1982
Weis Charlie, Notre Dame (IN), hc, 2005, 2009
Weis Charlie, Kansas, hc, 2012, 2013
Weiss Bob, Worcester Tech (MA), hc, 1978, 1987
Weist T.J., Connecticut, hc, 2013, 2013
Welch Francis G. "Fran", Emporia St. (KS), hc, 1928, 1954
Welch Gilbert "Gibby", Charleston (WV), hc, 1931, 1931
Welch Gustavius A. "Gus", Washington St., hc, 1919, 1922
Welch Jack, Kansas Wesleyan, hc, 1985, 1986
Welch Jerry, Chadron St. (NE), hc, 1978, 1981
Welch Mike, Ithaca (NY), hc, 1994, 2013
Welch W. Ralph "Pest", Washington, hc, 1942, 1947
Weller Harry D., Franklin & Marshall (PA), hc, 1918, 1918
Weller Robert F. "Bob", Lock Haven (PA), hc, 1969, 1975
Wells Duke, Henderson St. (AR), hc, 1941, 1961
Wells Earl, Jacksonville St. (AL), hc, 1908, 1908
Wells George B., Alma (MI), hc, 1898, 1898
Wells J.B., Endicott College (MA), hc, 2002, 2013
Wells Jordan C., Syracuse (NY), hc, 1892, 1892
Wells Linn S., Augustana (SD), hc, 1951, 1952
Wells Matt, Utah St., hc, 2013, 2013
Wells Robert "Robby", Savannah St. (GA), hc, 2008, 2009
Welner Charles, Maranatha Baptist Bible (WI), hc, 1979, 1983
Welsch Coach, Saint John's (MN), hc, 1944, 1944
Welsh George, Navy (MD), hc, 1973, 1981
Welsh George, Virginia, hc, 1982, 2000
Welsh Larry, Cal Poly-San Luis Obispo, hc, 1997, 2000
Welton J.A., Alabama St., hc, 1905, 1905
Welty John, Westminster (MO), hc, 2013, 2013
Wendell Percy L., Boston (MA), hc, 1920, 1920
Wendell Percy L., Lehigh (PA), hc, 1925, 1927
Wenskunas Mac P., North Dakota St., hc, 1950, 1953
Wentworth R.D., Texas, hc, 1894, 1894
Werner Alfred C., Allegheny (PA), hc, 1941, 1942
Werner J. Harris, South Dakota St., hc, 1904, 1904
Werner John, North Central (IL), hc, 1902, 1903
Wertenbaker William "Bill", Wofford (SC), hc, 1895, 1895
Wertenbaker William "Bill", Richmond (VA), hc, 1897, 1897
Wertenbaker William "Bill", South Carolina, hc, 1898, 1898
West Al, Central St. (OH), hc, 2006, 2008
West Charles, Howard (DC), hc, 1934, 1935
West Charles A. "Jack", South Dakota St., hc, 1919, 1927
West Charles A. "Jack", North Dakota, hc, 1928, 1945
West Ernest E., Georgia Tech, hc, 1892, 1892
West George, Texas St., hc, 1946, 1950
West Lou, Indiana St., hc, 2005, 2007
West Paul, Delta St. (MS), hc, 1927, 1927
West Ralph E., Chadron St. (NE), hc, 1920, 1923
West Tommy, Clemson (SC), hc, 1993, 1998
West Tommy, Memphis (TN), hc, 2001, 2009
Westen Brodie, Western Illinois, hc, 1974, 1975
Westenhaver John, West Liberty St. (WV), hc, 1978, 1981
Westering Forrest "Frosty", Parsons (IA), hc, 1962, 1963
Westering Forrest "Frosty", Albert Lea (MN), hc, 1966, 1971
Westering Forrest "Frosty", Pacific Lutheran (WA), hc, 1972, 2003
Westering Scott, Pacific Lutheran (WA), hc, 2004, 2013
Westerman Harold, Maine, hc, 1951, 1966
Weston Kevin, Clark Atlanta (GA), hc, 2013, 2013
Westphal Alfred, Michigan Tech, hc, 1921, 1922
Weymouth Orin, Chadron St. (NE), hc, 1915, 1916
Whalen Mike, Wesleyan (CT), hc, 2013, 2013
Whaley Benjamin F. "Ben", Hampton (VA), hc, 1957, 1964
Whaley W.H. "Dixie", South Carolina, hc, 1896, 1896
Whalley John, Mesa St. (CO), hc, 1929, 1929
Wharton W.W., Drake (IA), hc, 1894, 1894
Whatley James, Western Carolina (NC), hc, 1939, 1941
Wheaton H.M., Kansas, hc, 1914, 1914
Whedbee Mel F., Kentucky St., hc, 1963, 1967
Wheeler Alfred G., Amherst (MA), hc, 1930, 1931
Wheeler Les, Abilene Christian (TX), hc, 1962, 1967
Wheelwright Neil S., Colgate (NY), hc, 1968, 1975
Wheelwright Neil S., Holy Cross (MA), hc, 1976, 1980
Whelan Charles, Boston (MA), hc, 1921, 1925
Whelan William C., Allegheny (PA), hc, 1902, 1902
Whelchel Cmdr. John E., Navy (MD), hc, 1942, 1943
Wherritt Kirk, Trinity International (IL), hc, 2013, 2013
Whigham Byrd, Troy (AL), hc, 1974, 1975
Whipple Herbert, Creighton (NE), hc, 1900, 1901
Whipple James R., California, hc, 1902, 1903
Whipple Mark, New Haven (CT), hc, 1988, 1993
Whipple Mark, Brown (RI), hc, 1994, 1997
Whipple Mark, Massachusetts, hc, 1998, 2003
Whitaker Berry, Texas, hc, 1920, 1922
White A.F. "Wilbur", Colorado School of Mines, hc, 1936, 1936
White Arthur, Boston College (MA), hc, 1902, 1902
White Charles E., Chadron St. (NE), hc, 1911, 1911
White Clifton "Red", Adams St. (CO), hc, 1930, 1937
White Dave, Rensselaer Tech (NY), hc, 1973, 1981
White Dixie B., Louisiana-Monroe, hc, 1964, 1971
White Donny, Virginia Military Institute, hc, 1998, 1998
White Dr. Frank W., Temple (PA), hc, 1908, 1908
White Ernest Cleveland "E.C.", Missouri, hc, 1899, 1899
White Ernest Cleveland "E.C.", Kirksville Osteopath (MO), hc, 1900, 1900
White Gene, Stephen F. Austin (TX), hc, 1929, 1936
White Harry F., Amherst (MA), hc, 1926, 1929
White Henry, West Virginia Wesleyan, hc, 1898, 1898
White Howard, Eastern New Mexico, hc, 1967, 1969
White J.L., Wake Forest (NC), hc, 1920, 1921
White James "Mike", Albany St. (GA), hc, 2000, 2013
White Mike, California, hc, 1972, 1977
White Mike, Illinois, hc, 1980, 1987
White Robert "Bob", Central Missouri St., hc, 1944, 1945
White Robert M., Kentucky St., hc, 1946, 1946
White Robert M., Delaware St., hc, 1950, 1951
White Robert M., Elizabeth City St. (NC), hc, 1953, 1956
White Robert M., Howard (DC), hc, 1957, 1961
White Roy A., Montana, hc, 1908, 1909
White Vincent, Saint Mary's (CA), hc, 2003, 2003
White William C. "Bill", Samford (AL), hc, 1940, 1941
White William C. "Bill", Sewanee (TN), hc, 1946, 1953
White William C. "Bill", Samford (AL), hc, 1954, 1954
Whitehead John, Lehigh (PA), hc, 1976, 1985
Whitehurst Mickey, North Carolina St., hc, 1907, 1908
Whitford L.W., Northern Iowa, hc, 1930, 1932
Whitlock C.C., Indiana St., hc, 1901, 1901
Whitman Louis, Louisiana-Lafayette, hc, 1942, 1945
Whitney George S., Sewanee (TN), hc, 1903, 1904
Whitney George S., North Carolina St., hc, 1905, 1905
Whitney W.S., Georgia, hc, 1906, 1907
Whittaker Robert, Bowling Green (OH), hc, 1941, 1954
Whittemore A.H. "Buck", South Dakota, hc, 1902, 1921
Whitten Todd, Sam Houston St. (TX), hc, 2005, 2009
Whittingham Kyle, Utah, hc, 2005, 2013
Whittington C.L., Prairie View A&M; (TX), hc, 2003, 2003
Whitton Bill "Whitt", Holy Cross (MA), hc, 1969, 1970
Whitworth Jennings B. "Ears", Oklahoma St., hc, 1950, 1954
Whitworth Jennings B. "Ears", Alabama, hc, 1955, 1957
Wiant Harold, Glenville St. (WV), hc, 1920, 1921
