"num_seasons","school","source","target","weight"
"3","houston","3472","6131","0.25"
"10","southern illinois","1070","3436","1.0"
"1","arkansas tech","4898","6014","0.08333333333333333"
"1","toledo","3089","5017","0.0196078431372549"
"1","adrian","3089","3861","0.0196078431372549"
"1","michigan","3089","3089","0.0196078431372549"
"1","missouri","3089","1050","0.0196078431372549"
"3","western connecticut state","6136","1010","0.25"
"1","western michigan","1148","1384","0.020833333333333332"
"1","rutgers","1148","2056","0.020833333333333332"
"3","delaware","1148","3339","0.0625"
"2","fordham","1148","1104","0.041666666666666664"
"2","georgia tech","4715","4747","0.03278688524590164"
"1","georgia tech","4715","4276","0.01639344262295082"
"1","duke","4715","5420","0.01639344262295082"
"2","georgia tech","4715","2157","0.03278688524590164"
"1","maryland","4715","6183","0.01639344262295082"
"1","purdue","4858","816","0.015384615384615385"
"1","purdue","4858","34","0.015384615384615385"
"2","michigan","4858","1521","0.03076923076923077"
"5","rutgers","4858","2404","0.07692307692307693"
"1","michigan","4858","946","0.015384615384615385"
"2","ball st.","4858","2911","0.03076923076923077"
"1","southeastern louisiana","659","1429","0.09090909090909091"
"1","penn st.","5590","4871","0.09090909090909091"
"3","arkansas st.","4480","1187","0.06382978723404255"
"2","hampton","4480","6223","0.0425531914893617"
"3","north alabama","4480","3037","0.06382978723404255"
"1","alcorn state","4480","6274","0.02127659574468085"
"1","ohio","2007","767","0.043478260869565216"
"4","wittenberg","2007","6830","0.17391304347826086"
"1","vanderbilt","6760","1694","0.08333333333333333"
"1","akron","6153","3097","0.02857142857142857"
"5","akron","6153","698","0.14285714285714285"
"2","akron","6153","598","0.05714285714285714"
"4","arkansas st.","1187","2932","0.03508771929824561"
"1","arkansas st.","1187","2502","0.008771929824561403"
"1","louisiana tech","1187","4880","0.008771929824561403"
"11","louisiana tech","1187","3607","0.09649122807017543"
"1","louisiana tech","1187","46","0.008771929824561403"
"1","arkansas st.","1187","4939","0.008771929824561403"
"2","arkansas st.","1187","6288","0.017543859649122806"
"1","arkansas st.","1187","3448","0.008771929824561403"
"8","arkansas st.","1187","5349","0.07017543859649122"
"4","arkansas st.","1187","554","0.03508771929824561"
"1","kentucky","5414","3676","0.041666666666666664"
"1","southeastern louisiana","5414","4544","0.041666666666666664"
"4","virginia","2373","2486","0.10526315789473684"
"2","virginia","2373","6673","0.05263157894736842"
"1","boston college","2373","5432","0.02631578947368421"
"1","penn st.","2373","624","0.02631578947368421"
"1","minnesota","2989","2959","0.025"
"1","minnesota","2989","2989","0.025"
"1","unlv","2989","6102","0.025"
"4","nevada","2989","199","0.1"
"3","maine","1273","482","0.06976744186046512"
"1","maine","1273","3750","0.023255813953488372"
"2","maine","1273","1979","0.046511627906976744"
"3","houston","870","2769","0.04918032786885246"
"1","auburn","870","599","0.01639344262295082"
"3","auburn","870","1366","0.04918032786885246"
"1","alabama","870","162","0.01639344262295082"
"1","wyoming","870","1773","0.01639344262295082"
"5","georgia","870","5304","0.08196721311475409"
"1","temple","1587","1588","0.037037037037037035"
"2","ole miss","1587","204","0.07407407407407407"
"1","tennessee","1416","3917","0.02564102564102564"
"1","notre dame","1416","6651","0.02564102564102564"
"8","tennessee","1416","2183","0.20512820512820512"
"6","baylor","2141","6238","0.2727272727272727"
"1","baylor","2141","5227","0.045454545454545456"
"1","southeast missouri state","2782","4543","0.01694915254237288"
"2","georgia tech","2782","5435","0.03389830508474576"
"1","georgia tech","2782","2157","0.01694915254237288"
"5","iowa","2782","2170","0.0847457627118644"
"8","western illinois","2782","4876","0.13559322033898305"
"1","kansas","1631","3937","0.027777777777777776"
"3","wisconsin","1631","485","0.08333333333333333"
"1","usc","1631","2517","0.027777777777777776"
"5","idaho","4971","5854","0.10638297872340426"
"1","illinois","4971","7036","0.02127659574468085"
"5","louisville","4971","4970","0.10638297872340426"
"2","southern miss","4971","600","0.0425531914893617"
"1","iowa st.","3223","3917","0.015384615384615385"
"2","oklahoma","3223","3588","0.03076923076923077"
"1","pitt","3223","5728","0.015384615384615385"
"1","louisiana tech","3223","46","0.015384615384615385"
"3","arkansas","3223","755","0.046153846153846156"
"3","louisiana tech","1220","1373","0.10714285714285714"
"1","louisiana tech","1220","481","0.03571428571428571"
"2","texas tech","4030","3676","0.10526315789473684"
"2","hofstra","4030","2221","0.10526315789473684"
"1","hamilton","4831","2128","0.038461538461538464"
"1","syracuse","4831","3896","0.038461538461538464"
"1","iowa st.","902","1337","0.047619047619047616"
"3","north central","902","1217","0.14285714285714285"
"1","toledo","460","3653","0.020833333333333332"
"5","missouri","460","5859","0.10416666666666667"
"6","dartmouth","460","1362","0.125"
"2","tcu","2174","4878","0.14285714285714285"
"2","willamette or","5934","2708","0.18181818181818182"
"1","arkansas","811","2698","0.0196078431372549"
