Id,PageRank,CoachName
5586,0.010810622,schembechler glenn bo
769,0.00887181,bryant paul w bear
2170,0.007424839,fry hayden
5387,0.006535896,rodgers pepper
6265,0.00607504,thomas frank w
755,0.005402522,broyles frank
5900,0.005384541,snyder bill
1873,0.005312574,engle charles a rip
4871,0.005288548,paterno joe
6961,0.005148759,wulff paul
2959,0.005097128,holtz lou
3149,0.004822604,james don
3553,0.004795272,kramer mike
3917,0.0045079,majors johnny
4860,0.004462697,parseghian ara r
919,0.003980957,carlen jim
7000,0.003858452,young jim
4944,0.003709686,perry doyt
3291,0.00369799,jordan ralph shug
6333,0.003597013,tomey dick
1665,0.003594003,dooley vince
4411,0.003563026,moeller gary o
3803,0.003544903,london mike
597,0.003507961,bowden bobby
1379,0.00348227,crutchfield william bill
1593,0.00331606,dickey jim
2698,0.003314914,hatfield ken
1591,0.003212071,dickey doug
3269,0.003134083,jones june
4720,0.002920811,obrien tom
5955,0.002856039,spurrier steve
6113,0.00285319,studley charles chuck
601,0.002852168,bowes bill
6857,0.002846892,wilson shirley red
733,0.002816389,brown mack
3926,0.002808206,mallory bill
1647,0.002798763,donahue terry
2287,0.00279461,gesser jason
6053,0.00279461,stitt bob
3223,0.002789846,johnson jimmy
703,0.002771167,brooks rich
5811,0.002764538,slocum rc
4088,0.002746774,mccartney bill
4544,0.002664031,mumme hal clay
6177,0.002661113,switzer barry
1173,0.002633438,colletto jim
5728,0.00259768,sherrill jackie
6064,0.002593344,stoops bob
1708,0.002585539,drewer milton milt
1814,0.002496758,edwards lavell
2486,0.002480939,groh al
816,0.002479774,burtnett leon
210,0.002456388,axman steve
4956,0.002450221,peterson bill
4067,0.002448322,mcbride ron
2596,0.00243689,harbaugh jack
5505,0.002384365,saban nick l
3676,0.002359368,leach mike
3276,0.002358334,jones pat
1404,0.002357149,curry bill
4322,0.002353833,meyer ron
3038,0.002347343,hudspeth tommy
5526,0.002304519,sanders harry r red
4342,0.002287691,miles les
3464,0.002284996,king jt
1571,0.002283695,devaney robert s bob
2373,0.002275806,golden al
6315,0.00226962,tiller joe
1847,0.002263483,elliott peter r
2086,0.002225829,ford danny
2297,0.002222759,gibson vince
1518,0.002217047,deberry fisher
4638,0.002210202,neuheisel rick
4621,0.002201357,nehlen don
6238,0.002194985,teaff grant
5172,0.002169675,ralston john
3554,0.002151859,kramer roy
5017,0.002085681,pinkel gary
96,0.00206825,alvarez barry
6736,0.002044855,white mike
5810,0.0020445,sloan steve
1662,0.002038265,dooley bill
1931,0.00201888,fairbanks chuck
1773,0.00200654,dye pat
2157,0.001980601,friedgen ralph
599,0.001958571,bowden tommy
5681,0.001947755,sharpe jimmy
5859,0.001944835,smith larry
5854,0.001942803,smith john l
6076,0.001929887,stowers tim
1653,0.00192947,donnan jim
6116,0.001928042,stull bob
199,0.001912612,ault chris
698,0.001896107,brookhart jd
6765,0.001873617,wiggin paul
6673,0.001873164,welsh george
6475,0.001860079,vermeil dick
5118,0.001854443,prothro j thompson tommy
4012,0.001833436,mason tony
1462,0.001827362,daugherty hugh duffy
5395,0.001826209,rogers darryl d
1072,0.001825647,claiborne jerry
2584,0.001820551,hankwitz mike
3012,0.001806641,howard wayne
6504,0.001792072,wagner bob
4155,0.001782365,mcdowell gene
4784,0.001774195,osborne tom
2483,0.001772956,grobe jim
3642,0.001772937,larson gondon
1959,0.001771011,faust gerry
1672,0.001760004,dorrell karl
6410,0.0017586,tyler bob
5432,0.001746851,rose tim
4323,0.001744067,meyer urban
1048,0.00172798,chow norm
1376,0.001718451,crum dick
6547,0.001715257,wallace bobby
2122,0.001713213,franchione dennis
485,0.001711737,bielema bret
1364,0.001709253,crowder eddie
2183,0.001708981,fulmer phillip
4747,0.001688529,oleary george
1743,0.001663802,dunlap frederick h
2093,0.00166065,ford robert bob
1454,0.001660379,darnell gary
5901,0.001642211,snyder bruce
1268,0.00164016,corso lee
4878,0.001633706,patterson gary
6496,0.001629595,wable kenneth e ken
758,0.001622292,bruce earle
946,0.001620309,carr lloyd
4097,0.001605293,mcclain dave
598,0.00159842,bowden terry
143,0.001597005,andros dee
6401,0.001581397,turner ron
3588,0.001575831,lacewell larry
3346,0.001553372,kehres larry
2597,0.001552425,harbaugh jim
5720,0.001548926,sheridan dick
3229,0.001536055,johnson paul
5590,0.001531022,schiano greg
4804,0.001522741,owens lee
1556,0.00151492,dennison jim
1248,0.001514339,cooper john
746,0.001513063,brown watson
2105,0.001502399,forzano richard rick
1609,0.001502399,dietzel paul
6278,0.001482428,thomas roger
5206,0.001480731,read don
5304,0.001479512,richt mark
1971,0.001474915,felker rockey
419,0.001472131,bellotti mike
5607,0.00146395,schnellenberger howard
6192,0.00146046,talley andrew j andy
6542,0.001458774,walker wade
4709,0.001456642,nutt houston
5435,0.001454252,ross bobby
3796,0.001452998,logan steve
3568,0.001450669,kruczek mike
482,0.001441604,bicknell sr jack
954,0.001437703,carroll pete
240,0.001435789,bailey willard
2257,0.001420847,gaughan bernie
6355,0.001420374,tranquill gary
3671,0.001403461,laycock jimmye
600,0.001401896,bower jeff
4154,0.001400719,mcdonnell sean
1384,0.001387103,cubit bill
4203,0.001379453,mckay john
6963,0.001377188,wyatt bowden
1429,0.001365094,dale roland
6327,0.001361016,toledo bob
47,0.001350344,akers fred
6752,0.00134703,whittingham kyle
159,0.001344612,archer mike
6165,0.001342367,sweeney jim
5771,0.001339879,simmons bob
3873,0.001338767,lyons john
4009,0.001326987,mason glen
3433,0.00132305,kiffin monte
3113,0.001322076,ippoliti jerry
5530,0.001315486,sanford mike
6131,0.001314223,sumlin kevin
5482,0.001309585,russell erk
4387,0.001307649,minter rick
1373,0.001306486,crowton gary
2307,0.001306274,gilbertson keith
477,0.001295313,bible dana
6360,0.001289013,tressel jim
5686,0.001283211,shaw david
1064,0.001279805,cignetti frank
5368,0.001272501,robinson john
1366,0.001270969,crowe jack
2292,0.001268765,gibbs gary
6539,0.001261027,walker randy
859,0.00125774,caldwell jim
4581,0.001251016,musick jack
3716,0.001250788,lennon dale
6243,0.001244754,teevens eugene buddy
1203,0.001234914,commings bob
2216,0.001230809,gamble harry
1056,0.0012263,chryst paul
6157,0.001225777,swarthout jack
2154,0.001214357,frei jerry
4920,0.001212553,pelini bo
6651,0.001211648,weis charlie
5203,0.001210043,raymond harold r tubby
3884,0.001204586,macintyre george
6223,0.001195918,taylor joe
4833,0.001193228,parcells bill
1617,0.00119007,dinardo gerry
5971,0.001190015,stallings gene
4498,0.001188357,morrison joe
4970,0.001185427,petrino bobby bob
1471,0.001184151,davie bob
1842,0.001183045,elliott chalmers bump
3372,0.001178339,kelly brian
1562,0.001171594,deromedi herb
1886,0.001165475,erickson dennis
874,0.001164665,cameron cam
6100,0.001159457,strong charlie
5589,0.001156939,scherer rip
5457,0.001154173,royal darrell
5053,0.001153443,pont john
1398,0.001153396,curci fran
1519,0.001151409,debesse bob
3931,0.001148619,maloney frank
3448,0.001142512,kincaid al
2399,0.001142028,gottfried mike
2437,0.001140298,green dennis
5778,0.001138969,simon matt
2517,0.001137474,hackett paul
6343,0.001136452,torbush carl
514,0.001131998,blackman robert l bob
5929,0.001119327,spaziani frank
1024,0.001113972,chaney jim
659,0.001112748,brewer billy
6319,0.001111231,timer sam t
303,0.001103625,barnett gary
2869,0.0011011,hilles jim
3436,0.001095536,kill jerry
6054,0.001091353,stobart charles r chuck
2051,0.001082552,fleming jim
