Last First Name,school,School/Info,position,start year,end year (-1 current position),,position,,,school,len school name
Addazio Steve,boston college,,hc,2013,-1,,hc,TRUE,,,14
Addazio Steve,cheshire hs,,hc,1988,1994,,hc,TRUE,,,
Addazio Steve,florida,,oc,2009,2010,,oc,TRUE,,,7
Addazio Steve,florida,,ahc,2007,2008,,ahc,TRUE,,,
Addazio Steve,florida,,ol,2005,2006,,ol,TRUE,,,
Addazio Steve,indiana,,oc,2002,2004,,oc,TRUE,,,
Addazio Steve,notre dame,,ol,1999,2001,,ol,TRUE,,,
Addazio Steve,syracuse,,ol,1995,1998,,ol,TRUE,,,
Addazio Steve,temple,,hc,2011,2012,,hc,TRUE,,,6
Addazio Steve,western connecticut,,ol,1985,1987,,ol,TRUE,,,
Alvarez Barry,iowa,Iowaÿ(LB),lb,1979,1986,iowaÿ(lb),lb,TRUE,,,
Alvarez Barry,lexington hs,Lexington HS (NE),hc,1974,1975,lexington hs (ne),hc,TRUE,,,
Alvarez Barry,lincoln hs ne,Lincoln NE HS (NE)ÿ(assistant),ga,1971,1973,lincoln ne hs (ne)ÿ(assistant),ga,TRUE,,,
Alvarez Barry,mason city hs ia,Mason City HS (IA),hc,1976,1978,mason city hs (ia),hc,TRUE,,,
Alvarez Barry,notre dame,Notre Dameÿ(DC),dc,1988,1989,notre dameÿ(dc),dc,TRUE,,,
Alvarez Barry,notre dame,Notre Dameÿ(LB),lb,1987,1987,notre dameÿ(lb),lb,TRUE,,,
Alvarez Barry,wisconsin,Wisconsin,hc,1990,2005,wisconsin,hc,TRUE,,,
Alvarez Barry,wisconsin,Wisconsin,hc,2012,2012,wisconsin,hc,TRUE,,,
Anderson Bill,howard payne, Howard Payne,hc,1988,1991,howard payne,hc,TRUE,#VALUE!,howard payne,12
Anderson Bill,north park, North Park,hc,1978,1985,north park,hc,TRUE,#VALUE!,north park,10
Anderson Gary,idaho state,Idaho Stateÿ(DL),dl,1992,1994,idaho stateÿ(dl),dl,TRUE,,,
Anderson Gary,northern arizona,Northern Arizonaÿ(DL/ST),dl,1995,1996,northern arizonaÿ(dl/st),dl,TRUE,,,
Anderson Gary,park city hs ut,Park City HS (UT),hc,1994,1995,park city hs (ut),hc,TRUE,,,
Anderson Gary,ricks college,Ricks Collegeÿ(OL),ol,1989,1992,ricks collegeÿ(ol),ol,TRUE,,,
Anderson Gary,southeastern louisiana,Southeastern Louisianaÿ(OC),oc,1988,1988,southeastern louisianaÿ(oc),oc,TRUE,,,
Anderson Gary,southern utah,Southern Utah,hc,2003,2003,southern utah,hc,TRUE,,,
Anderson Gary,utah,Utahÿ(DC),dc,2005,2008,utahÿ(dc),dc,TRUE,,,
Anderson Gary,utah,Utahÿ(DL),dl,2004,2004,utahÿ(dl),dl,TRUE,,,
Anderson Gary,utah,Utahÿ(DL/ST),dl,1997,2002,utahÿ(dl/st),dl,TRUE,,,
Anderson Gary,utah state,Utah State,hc,2009,2012,utah state,hc,TRUE,,,
Anderson Gary,wisconsin,Wisconsin,hc,2013,-1,wisconsin,hc,TRUE,,,
Ankney Moe,arizona, Arizona (AHC/DC/AB),ahc,1980,1985,arizona (ahc/dc/ab),ahc,TRUE,9,arizona,7
Ankney Moe,ball state, Ball State (DB),db,1971,1975,ball state (db),db,TRUE,12,ball state,10
Ankney Moe,bowling green, Bowling Green,hc,1986,1990,bowling green,hc,TRUE,#VALUE!,bowling green,13
Ankney Moe,minnesota, Minnesota (AHC),ahc,2005,-1,minnesota (ahc),ahc,TRUE,11,minnesota,9
Ankney Moe,missouri, Missouri (DC),dc,1998,2004,missouri (dc),dc,TRUE,10,missouri,8
Ankney Moe,purdue, Purdue (DC),dc,1991,1994,purdue (dc),dc,TRUE,8,purdue,6
Ankney Moe,tulane, Tulane (DC/DB),dc,1976,1979,tulane (dc/db),dc,TRUE,8,tulane,6
Archer Mike,kentucky, Kentucky (AHC/DB/LB),ahc,1995,1995,kentucky (ahc/db/lb),ahc,TRUE,10,kentucky,8
Archer Mike,kentucky, Kentucky (DB/LB),db,1993,1994,kentucky (db/lb),db,TRUE,10,kentucky,8
Archer Mike,kentucky, Kentucky (DC),dc,2003,2006,kentucky (dc),dc,TRUE,10,kentucky,8
Archer Mike,lsu, LSU,hc,1987,1990,lsu,hc,TRUE,#VALUE!,lsu,3
Archer Mike,lsu, LSU (DB),db,1984,1984,lsu (db),db,TRUE,5,lsu,3
Archer Mike,lsu, LSU (DC/DB),dc,1985,1986,lsu (dc/db),dc,TRUE,5,lsu,3
Archer Mike,miami, Miami (assistant),ga,1978,1978,miami (assistant),ga,TRUE,7,miami,5
Archer Mike,miami, Miami (DB),db,1979,1983,miami (db),db,TRUE,7,miami,5
Archer Mike,miami, Miami (GA),ga,1976,1977,miami (ga),ga,TRUE,7,miami,5
Archer Mike,nc state, NC State (DC),dc,2007,2012,nc state (dc),dc,TRUE,10,nc state,8
Archer Mike,pittsburgh steelers, Pittsburgh Steelers (LB),lb,1996,2002,pittsburgh steelers (lb),lb,TRUE,21,pittsburgh steelers,19
Archer Mike,virginia, Virginia (Def Asst),ga,2014,-1,virginia (def asst),ga,TRUE,10,virginia,8
Archer Mike,virginia, Virginia (LB),lb,1991,1992,virginia (lb),lb,TRUE,10,virginia,8
Arians Bruce,alabama, Alabama (OC),oc,1997,1997,alabama (oc),oc,TRUE,9,alabama,7
Arians Bruce,alabama, Alabama (RB),rb,1981,1982,alabama (rb),rb,TRUE,9,alabama,7
Arians Bruce,arizona cardinals, Arizona Cardinals (head coach),hc,2013,-1,arizona cardinals (head coach),hc,TRUE,19,arizona cardinals,17
Arians Bruce,cleveland browns, Cleveland Browns (OC),oc,2001,2003,cleveland browns (oc),oc,TRUE,18,cleveland browns,16
Arians Bruce,indianapolis colts, Indianapolis Colts (OC/interim HC),oc,2012,2012,indianapolis colts (oc/interim hc),oc,TRUE,20,indianapolis colts,18
Arians Bruce,indianapolis colts, Indianapolis Colts (QB),qb,1998,2000,indianapolis colts (qb),qb,TRUE,20,indianapolis colts,18
Arians Bruce,kansas city chiefs, Kansas City Chiefs (RB),rb,1989,1992,kansas city chiefs (rb),rb,TRUE,20,kansas city chiefs,18
Arians Bruce,mississippi state, Mississippi State (OC),oc,1993,1995,mississippi state (oc),oc,TRUE,19,mississippi state,17
Arians Bruce,mississippi state, Mississippi State (RB/WR),rb,1978,1980,mississippi state (rb/wr),rb,TRUE,19,mississippi state,17
Arians Bruce,new orleans saints, New Orleans Saints (TE),te,1996,1996,new orleans saints (te),te,TRUE,20,new orleans saints,18
Arians Bruce,pittsburgh steelers, Pittsburgh Steelers (OC),oc,2007,2011,pittsburgh steelers (oc),oc,TRUE,21,pittsburgh steelers,19
Arians Bruce,pittsburgh steelers, Pittsburgh Steelers (WR),wr,2004,2006,pittsburgh steelers (wr),wr,TRUE,21,pittsburgh steelers,19
Arians Bruce,temple, Temple (head coach),hc,1983,1988,temple (head coach),hc,TRUE,8,temple,6
Arians Bruce,virginia tech, Virginia Tech (graduate assistant),ga,1975,1977,virginia tech (graduate assistant),ga,TRUE,15,virginia tech,13
Arico Larry,fairleigh dickinsonflorham, Fairleigh DickinsonFlorham,hc,1997,1999,fairleigh dickinsonflorham,hc,TRUE,#VALUE!,fairleigh dickinsonflorham,26
Arico Larry,william paterson, William Paterson,hc,2000,2004,william paterson,hc,TRUE,#VALUE!,william paterson,16
Arnold Dave,albion, Albion (assistant),ga,1999,2004,albion (assistant),ga,TRUE,8,albion,6
Arnold Dave,alma hs, Alma HS (MI),hc,1974,1979,alma hs (mi),hc,TRUE,9,alma hs,7
Arnold Dave,alma hs, Alma HS (MI) (assistant),ga,1973,1973,alma hs (mi) (assistant),ga,TRUE,9,alma hs,7
Arnold Dave,colorado state, Colorado State (assistant),ga,2005,2007,colorado state (assistant),ga,TRUE,16,colorado state,14
Arnold Dave,miami, Miami (FL) (ST/RB),st,1989,1994,miami (fl) (st/rb),st,TRUE,7,miami,5
Arnold Dave,michigan state, Michigan State (OL),ol,1980,1981,michigan state (ol),ol,TRUE,16,michigan state,14
Arnold Dave,midland hs, Midland HS (MI) (assistant),ga,1968,1972,midland hs (mi) (assistant),ga,TRUE,12,midland hs,10
Arnold Dave,montana state, Montana State,hc,1983,1986,montana state,hc,TRUE,#VALUE!,montana state,13
Arnold Dave,montana state, Montana State (OL),ol,1982,1982,montana state (ol),ol,TRUE,15,montana state,13
Arnold Dave,seattle seahawks, Seattle Seahawks (ST),st,1995,1997,seattle seahawks (st),st,TRUE,18,seattle seahawks,16
Arnold Dave,washington state, Washington State (ST/OL),st,1987,1988,washington state (st/ol),st,TRUE,18,washington state,16
Arnsparger Bill,baltimore colts, Baltimore Colts (DL),dl,1964,1969,baltimore colts (dl),dl,TRUE,17,baltimore colts,15
Arnsparger Bill,kentucky, Kentucky (OL),ol,1954,1961,kentucky (ol),ol,TRUE,10,kentucky,8
Arnsparger Bill,lsu, LSU,hc,1984,1986,lsu,hc,TRUE,#VALUE!,lsu,3
Arnsparger Bill,miami dolphins, Miami Dolphins (AHC/DC),ahc,1973,1973,miami dolphins (ahc/dc),ahc,TRUE,16,miami dolphins,14
Arnsparger Bill,miami dolphins, Miami Dolphins (AHC/DC),ahc,1976,1983,miami dolphins (ahc/dc),ahc,TRUE,16,miami dolphins,14
Arnsparger Bill,miami dolphins, Miami Dolphins (DC/LB),dc,1970,1972,miami dolphins (dc/lb),dc,TRUE,16,miami dolphins,14
Arnsparger Bill,miami oh, Miami (OH) (assistant),ga,1950,1950,miami (oh) (assistant),ga,TRUE,7,miami,8
Arnsparger Bill,new york giants, New York Giants,hc,1974,1976,new york giants,hc,TRUE,#VALUE!,new york giants,15
Arnsparger Bill,ohio state, Ohio State (assistant),ga,1951,1953,ohio state (assistant),ga,TRUE,12,ohio state,10
Arnsparger Bill,san diego chargers, San Diego Chargers (DC),dc,1992,1994,san diego chargers (dc),dc,TRUE,20,san diego chargers,18
Arnsparger Bill,tulane, Tulane (assistant),ga,1962,1963,tulane (assistant),ga,TRUE,8,tulane,6
Arslanian Dave,utah state, Utah State,hc,1998,1999,utah state,hc,TRUE,#VALUE!,utah state,10
Arslanian Dave,weber state, Weber State,hc,1989,1997,weber state,hc,TRUE,#VALUE!,weber state,11
Asberry Darrell,coahoma cc, Coahoma CC (OC),oc,2003,2003,coahoma cc (oc),oc,TRUE,12,coahoma cc,10
Asberry Darrell,jackson state, Jackson State (OC),oc,2001,2002,jackson state (oc),oc,TRUE,15,jackson state,13
Asberry Darrell,nccu, NCCU (AHC/OC/QB),ahc,2005,2005,nccu (ahc/oc/qb),ahc,TRUE,6,nccu,4
Asberry Darrell,nccu, NCCU (OC/QB),oc,2004,2004,nccu (oc/qb),oc,TRUE,6,nccu,4
Asberry Darrell,shaw, Shaw,hc,2006,2011,shaw,hc,TRUE,#VALUE!,shaw,4
Asberry Darrell,texas southern, Texas Southern,hc,2012,-1,texas southern,hc,TRUE,#VALUE!,texas southern,14
Ash Rob,cornell, Cornell (IA) (assistant),ga,1976,1979,cornell (ia) (assistant),ga,TRUE,9,cornell,7
Ash Rob,drake, Drake,hc,1989,2006,drake,hc,TRUE,#VALUE!,drake,5
Ash Rob,juniata, Juniata,hc,1980,1988,juniata,hc,TRUE,#VALUE!,juniata,7
Ash Rob,montana state, Montana State,hc,2007,-1,montana state,hc,TRUE,#VALUE!,montana state,13
Audino John,albany, Albany (ST),st,1975,1976,albany (st),st,TRUE,8,albany,6
Audino John,columbia, Columbia (assistant),ga,1977,1981,columbia (assistant),ga,TRUE,10,columbia,8
Audino John,kean, Kean,hc,1990,1991,kean,hc,TRUE,#VALUE!,kean,4
Audino John,kentucky, Kentucky (TE),te,1982,1982,kentucky (te),te,TRUE,10,kentucky,8
Audino John,penn, Penn (WR/QB),wr,1986,1989,penn (wr/qb),wr,TRUE,6,penn,4
Audino John,union, Union (NY),hc,1992,-1,union (ny),hc,TRUE,7,union,5
Audino John,union, Union (NY) (OC),oc,1983,1985,union (ny) (oc),oc,TRUE,7,union,5
Ault Chris,bishop manogue hs, Bishop Manogue HS (NV),hc,1969,1971,bishop manogue hs (nv),hc,TRUE,19,bishop manogue hs,17
Ault Chris,churchill county hs, Churchill County HS (NV) (assistant),ga,1968,1968,churchill county hs (nv) (assistant),ga,TRUE,21,churchill county hs,19
Ault Chris,kansas city chiefs, Kansas City Chiefs (consultant),hc,2013,-1,kansas city chiefs (consultant),hc,TRUE,20,kansas city chiefs,18
Ault Chris,nevada, Nevada,hc,1976,1992,nevada,hc,TRUE,#VALUE!,nevada,6
Ault Chris,nevada, Nevada,hc,1994,1995,nevada,hc,TRUE,#VALUE!,nevada,6
Ault Chris,nevada, Nevada,hc,2004,2012,nevada,hc,TRUE,#VALUE!,nevada,6
Ault Chris,reno hs, Reno HS (NV),hc,1972,1972,reno hs (nv),hc,TRUE,9,reno hs,7
Ault Chris,unlv, UNLV (assistant),ga,1973,1975,unlv (assistant),ga,TRUE,6,unlv,4
Austin Kent,cornell university, Cornell University,hc,2010,2012,cornell university,hc,TRUE,#VALUE!,cornell university,18
Austin Kent,hamilton tiger-cats, Hamilton Tiger-Cats,hc,2013,-1,hamilton tiger-cats,hc,TRUE,#VALUE!,hamilton tiger-cats,19
Austin Kent,ottawa renegades, Ottawa Renegades (QB),qb,2003,2003,ottawa renegades (qb),qb,TRUE,18,ottawa renegades,16
Austin Kent,saskatchewan roughriders, Saskatchewan Roughriders,hc,2007,2007,saskatchewan roughriders,hc,TRUE,#VALUE!,saskatchewan roughriders,24
Austin Kent,toronto argonauts, Toronto Argonauts (OC),oc,2004,2006,toronto argonauts (oc),oc,TRUE,19,toronto argonauts,17
Austin Kent,university of mississippi, University of Mississippi (OC),oc,2008,2010,university of mississippi (oc),oc,TRUE,27,university of mississippi,25
Avery Wendell,alabama a&m, Alabama A&M (QB/WR),qb,1992,1993,alabama a&m (qb/wr),qb,TRUE,13,alabama a&m,11
Avery Wendell,fort valley state, Fort Valley State (QB),qb,1998,1998,fort valley state (qb),qb,TRUE,19,fort valley state,17
Avery Wendell,macalester, Macalester (QB/WR),qb,1982,1983,macalester (qb/wr),qb,TRUE,12,macalester,10
Avery Wendell,savannah state, Savannah State,hc,1995,1996,savannah state,hc,TRUE,#VALUE!,savannah state,14
Avery Wendell,savannah state, Savannah State (OC),oc,1994,1994,savannah state (oc),oc,TRUE,16,savannah state,14
Avery Wendell,tampa bay buccaneers, Tampa Bay Buccaneers (OA),hc,1999,2000,tampa bay buccaneers (oa),hc,TRUE,22,tampa bay buccaneers,20
Avery Wendell,winona state, Winona State (OC),oc,1990,1991,winona state (oc),oc,TRUE,14,winona state,12
Awrey Randy,kentucky wesleyan, Kentucky Wesleyan,hc,1990,1994,kentucky wesleyan,hc,TRUE,#VALUE!,kentucky wesleyan,17
Awrey Randy,lakeland, Lakeland (WI),hc,1994,1999,lakeland (wi),hc,TRUE,10,lakeland,8
Awrey Randy,saginaw valley state, Saginaw Valley State,hc,1999,2007,saginaw valley state,hc,TRUE,#VALUE!,saginaw valley state,20
Axman Steve,albany state, Albany State (OL),ol,1975,1975,albany state (ol),ol,TRUE,14,albany state,12
Axman Steve,arizona, Arizona (OC/QB),oc,1980,1984,arizona (oc/qb),oc,TRUE,9,arizona,7
Axman Steve,army, Army (assistant),ga,1976,1978,army (assistant),ga,TRUE,6,army,4
Axman Steve,denver gold, Denver Gold (OL),ol,1985,1985,denver gold (ol),ol,TRUE,13,denver gold,11
Axman Steve,east stroudsburg, East Stroudsburg (DL),dl,1974,1974,east stroudsburg (dl),dl,TRUE,18,east stroudsburg,16
Axman Steve,idaho, Idaho (OC/QB),oc,2010,2011,idaho (oc/qb),oc,TRUE,7,idaho,5
Axman Steve,idaho, Idaho (OC/TE),oc,2007,2009,idaho (oc/te),oc,TRUE,7,idaho,5
Axman Steve,illinois, Illinois (assistant),ga,1979,1979,illinois (assistant),ga,TRUE,10,illinois,8
Axman Steve,macarthur hs, MacArthur HS (NY),hc,1973,1973,macarthur hs (ny),hc,TRUE,14,macarthur hs,12
Axman Steve,maryland, Maryland (QB),qb,1989,1989,maryland (qb),qb,TRUE,10,maryland,8
Axman Steve,minnesota, Minnesota (QB),qb,1998,1998,minnesota (qb),qb,TRUE,11,minnesota,9
Axman Steve,montana, Montana (QB),qb,2006,2006,montana (qb),qb,TRUE,9,montana,7
Axman Steve,nicholls state, Nicholls State (interim),hc,2014,-1,nicholls state (interim),hc,TRUE,16,nicholls state,14
Axman Steve,northern arizona, Northern Arizona,hc,1990,1997,northern arizona,hc,TRUE,#VALUE!,northern arizona,16
Axman Steve,simon fraser, Simon Fraser (QB),qb,2013,2013,simon fraser (qb),qb,TRUE,14,simon fraser,12
Axman Steve,stanford, Stanford (OL),ol,1986,1986,stanford (ol),ol,TRUE,10,stanford,8
Axman Steve,ucla, UCLA (OC/OL),oc,1988,1988,ucla (oc/ol),oc,TRUE,6,ucla,4
Axman Steve,ucla, UCLA (OC/QB),oc,1987,1987,ucla (oc/qb),oc,TRUE,6,ucla,4
Axman Steve,ucla, UCLA (OC/QB),oc,2003,2003,ucla (oc/qb),oc,TRUE,6,ucla,4
Axman Steve,washington, Washington (AHC/QB),ahc,2001,2002,washington (ahc/qb),ahc,TRUE,12,washington,10
Axman Steve,washington, Washington (QB),qb,1999,2000,washington (qb),qb,TRUE,12,washington,10
Axman Steve,washington, Washington (WR),wr,2004,2004,washington (wr),wr,TRUE,12,washington,10
Ayers Mike,east tennessee state, East Tennessee State,hc,1985,1987,east tennessee state,hc,TRUE,#VALUE!,east tennessee state,20
Ayers Mike,east tennessee state, East Tennessee State (DC),dc,1983,1984,east tennessee state (dc),dc,TRUE,22,east tennessee state,20
Ayers Mike,georgetown, Georgetown (KY) (assistant),ga,1974,1974,georgetown (ky) (assistant),ga,TRUE,12,georgetown,10
Ayers Mike,georgetown, Georgetown (KY) (DC),dc,1975,1975,georgetown (ky) (dc),dc,TRUE,12,georgetown,10
Ayers Mike,newberry, Newberry (assistant),ga,1976,1978,newberry (assistant),ga,TRUE,10,newberry,8
Ayers Mike,richmond, Richmond (assistant),ga,1979,1979,richmond (assistant),ga,TRUE,10,richmond,8
Ayers Mike,wofford, Wofford,hc,1988,-1,wofford,hc,TRUE,#VALUE!,wofford,7
Ayers Mike,wofford, Wofford (assistant),ga,1980,1982,wofford (assistant),ga,TRUE,9,wofford,7
Babers Dino,arizona, Arizona (OC/QB),oc,1998,2000,arizona (oc/qb),oc,TRUE,9,arizona,7
Babers Dino,arizona, Arizona (WR/RB/QB),wr,1995,1997,arizona (wr/rb/qb),wr,TRUE,9,arizona,7
Babers Dino,arizona state, Arizona State (GA),ga,1985,1985,arizona state (ga),ga,TRUE,15,arizona state,13
Babers Dino,baylor, Baylor (ST/WR),st,2009,2011,baylor (st/wr),st,TRUE,8,baylor,6
Babers Dino,baylor, Baylor (WR),wr,2008,2008,baylor (wr),wr,TRUE,8,baylor,6
Babers Dino,bowling green, Bowling Green,hc,2014,-1,bowling green,hc,TRUE,#VALUE!,bowling green,13
Babers Dino,eastern illinois, Eastern Illinois,hc,2012,2013,eastern illinois,hc,TRUE,#VALUE!,eastern illinois,16
Babers Dino,eastern illinois, Eastern Illinois (RB),rb,1987,1987,eastern illinois (rb),rb,TRUE,18,eastern illinois,16
Babers Dino,hawaii, Hawaii (GA),ga,1984,1984,hawaii (ga),ga,TRUE,8,hawaii,6
Babers Dino,northern arizona, Northern Arizona (ST),st,1990,1990,northern arizona (st),st,TRUE,18,northern arizona,16
Babers Dino,pittsburgh, Pittsburgh (RB),rb,2003,2003,pittsburgh (rb),rb,TRUE,12,pittsburgh,10
Babers Dino,purdue, Purdue (WR),wr,1991,1993,purdue (wr),wr,TRUE,8,purdue,6
Babers Dino,san diego state, San Diego State (WR),wr,1994,1994,san diego state (wr),wr,TRUE,17,san diego state,15
Babers Dino,texas a&m, Texas A&M (OC/QB),oc,2001,2002,texas a&m (oc/qb),oc,TRUE,11,texas a&m,9
Babers Dino,ucla, UCLA (asst. HC/RB/QB),ga,2004,2007,ucla (asst. hc/rb/qb),ga,TRUE,6,ucla,4
Babers Dino,unlv, UNLV (ST/RB),st,1988,1989,unlv (st/rb),st,TRUE,6,unlv,4
Babich Bob,bowling green, Bowling Green (ILB),lb,1991,1991,bowling green (ilb),lb,TRUE,15,bowling green,13
Babich Bob,chicago bears, Chicago Bears (assistant HC/LB),ga,2006,2006,chicago bears (assistant hc/lb),ga,TRUE,15,chicago bears,13
