Addazio Steve,boston college,2013,-1
Addazio Steve,cheshire hs,1988,1994
Addazio Steve,temple,2011,2012
Alvarez Barry,lexington hs,1974,1975
Alvarez Barry,mason city hs ia,1976,1978
Alvarez Barry,wisconsin,1990,2005
Alvarez Barry,wisconsin,2012,2012
Anderson Bill,howard payne,1988,1991
Anderson Bill,north park,1978,1985
Anderson Gary,park city hs ut,1994,1995
Anderson Gary,southern utah,2003,2003
Anderson Gary,utah state,2009,2012
Anderson Gary,wisconsin,2013,-1
Ankney Moe,bowling green,1986,1990
Archer Mike,lsu,1987,1990
Arians Bruce,arizona cardinals,2013,-1
Arians Bruce,temple,1983,1988
Arico Larry,fairleigh dickinsonflorham,1997,1999
Arico Larry,william paterson,2000,2004
Arnold Dave,alma hs,1974,1979
Arnold Dave,montana state,1983,1986
Arnsparger Bill,lsu,1984,1986
Arnsparger Bill,new york giants,1974,1976
Arslanian Dave,utah state,1998,1999
Arslanian Dave,weber state,1989,1997
Asberry Darrell,shaw,2006,2011
Asberry Darrell,texas southern,2012,-1
Ash Rob,drake,1989,2006
Ash Rob,juniata,1980,1988
Ash Rob,montana state,2007,-1
Audino John,kean,1990,1991
Audino John,union,1992,-1
Ault Chris,bishop manogue hs,1969,1971
Ault Chris,kansas city chiefs,2013,-1
Ault Chris,nevada,1976,1992
Ault Chris,nevada,1994,1995
Ault Chris,nevada,2004,2012
Ault Chris,reno hs,1972,1972
Austin Kent,cornell university,2010,2012
Austin Kent,hamilton tiger-cats,2013,-1
Austin Kent,saskatchewan roughriders,2007,2007
Avery Wendell,savannah state,1995,1996
Avery Wendell,tampa bay buccaneers,1999,2000
Awrey Randy,kentucky wesleyan,1990,1994
Awrey Randy,lakeland,1994,1999
Awrey Randy,saginaw valley state,1999,2007
Axman Steve,macarthur hs,1973,1973
Axman Steve,nicholls state,2014,-1
Axman Steve,northern arizona,1990,1997
Ayers Mike,east tennessee state,1985,1987
Ayers Mike,wofford,1988,-1
Babers Dino,bowling green,2014,-1
Babers Dino,eastern illinois,2012,2013
Babich Bob,north dakota state,1997,2002
Baer Kent,yokosuka seahawks,1973,1976
Bagnoli Al,penn,1992,-1
Bagnoli Al,union,1982,1991
