School,year,Games,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot
Air Force,2000,11,15.9,29.5,54,213.5,1.5,37.6,159.5,4.2,1.5,67.1,373,5.6,9.6,8.6,1,19.3,5.1,40.2,1.1,0.6,1.7,15.39976564,27.5991777,55.74840844,187.2251429,1.149695869,37.91022004,138.4900272,3.640185375,1.203837869,67.1,373,5.6,9.6,8.6,1,19.3,5.1,40.2,1.1,0.6,1.7
Air Force,2001,12,17.3,31.4,54.9,249.2,1.6,39.7,203.5,5.1,2.1,71.1,452.7,6.4,10.8,10.8,0.9,22.5,4.6,43.3,1.2,1.2,2.3,15.77981251,28.35934216,55.57872675,199.6201143,1.239756695,38.26817603,151.4920218,3.9321483,1.383070296,67.9,388.94,5.76,9.84,9.04,0.98,19.94,5,40.82,1.12,0.72,1.82
Air Force,2002,13,16.2,28.5,56.8,198.8,0.8,39.2,155.5,4,1.9,67.6,354.3,5.2,9.4,9,0.7,19.1,4.9,43.9,1.1,0.9,2,15.86385001,28.38747373,55.8229814,199.4560914,1.151805356,38.45454082,152.2936174,3.94571864,1.486456236,67.84,382.012,5.648,9.752,9.032,0.924,19.772,4.98,41.436,1.116,0.756,1.856
Air Force,2003,12,14.1,26,54.2,183.1,0.9,42.6,168.9,4,1.7,68.6,352,5.1,8.8,9.8,0.8,19.3,5.3,44.9,0.8,1.1,1.9,15.51108001,27.90997898,55.49838512,196.1848732,1.101444285,39.28363266,155.6148939,3.956574912,1.529164989,67.992,376.0096,5.5384,9.5616,9.1856,0.8992,19.6776,5.044,42.1288,1.0528,0.8248,1.8648
Air Force,2004,11,15.3,27.1,56.4,222.1,1.5,40.5,200,4.9,2.2,67.5,422.1,6.2,10.1,9.9,1.2,21.2,5.5,44.2,0.7,0.8,1.5,15.468864,27.74798319,55.6787081,201.3678985,1.181155428,39.52690613,164.4919151,4.14525993,1.663331991,67.8936,385.22768,5.67072,9.66928,9.32848,0.95936,19.98208,5.1352,42.54304,0.98224,0.81984,1.79184
Air Force,2005,11,19.4,29.5,65.7,255,1.5,40.2,173.5,4.3,2.5,69.6,428.5,6.2,11.6,9.5,1.2,22.4,5.9,50.7,0.7,0.8,1.5,16.2550912,28.09838655,57.68296648,212.0943188,1.244924342,39.6615249,166.2935321,4.176207944,1.830665593,68.23488,393.882144,5.776576,10.055424,9.362784,1.007488,20.465664,5.28816,44.174432,0.925792,0.815872,1.733472
Air Force,2006,12,16.8,25.3,66.7,213.4,1.7,34.6,141.3,4.1,1.3,59.8,354.7,5.9,9.2,9.3,0.8,19.2,5.6,46.3,1.1,0.8,1.8,16.36407296,27.53870924,59.48637318,212.3554551,1.335939474,38.64921992,161.2948257,4.160966355,1.724532474,66.547904,386.0457152,5.8012608,9.8843392,9.3502272,0.9659904,20.2125312,5.350528,44.5995456,0.9606336,0.8126976,1.7467776
Air Force,2007,13,19.2,32.8,58.5,232.2,1.2,39.5,136.5,3.5,1.2,72.3,368.7,5.1,10.4,8.4,1.2,19.9,5.5,42.1,1,1.2,2.2,16.93125837,28.59096739,59.28909855,216.324364,1.308751579,38.81937594,156.3358605,4.028773084,1.61962598,67.6983232,382.5765722,5.66100864,9.98747136,9.16018176,1.01279232,20.15002496,5.3804224,44.09963648,0.96850688,0.89015808,1.83742208
Air Force,2008,13,16.8,28.8,58.4,199.9,1.2,38.5,141.5,3.7,1.5,67.3,341.5,5.1,10.1,7.8,1.3,19.2,5.5,42.3,1.4,0.9,2.3,16.9050067,28.63277391,59.11127884,213.0394912,1.287001263,38.75550075,153.3686884,3.963018467,1.595700784,67.61865856,374.3612577,5.548806912,10.00997709,8.888145408,1.070233856,19.96001997,5.40433792,43.73970918,1.054805504,0.892126464,1.929937664
Air Force,2009,13,14.5,25.2,57.6,154.3,0.8,35.8,134,3.7,0.9,61,288.3,4.7,7.4,6.5,0.7,14.6,5.5,47,1.1,1.5,2.6,16.42400536,27.94621913,58.80902307,201.291593,1.189601011,38.1644006,149.4949508,3.910414774,1.456560627,66.29492685,357.1490062,5.37904553,9.48798167,8.410516326,0.996187085,18.88801597,5.423470336,44.39176735,1.063844403,1.013701171,2.063950131
