School,year,Games,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD
Air Force,1957,10,6.9,15.4,44.8,114.5,0.6,47.9,173.5,3.6,2,6.9,15.4,44.8,114.5,0.6,47.9,173.5,3.6,2
Air Force,1958,11,6.9,14.5,47.8,81.2,0.5, ,132, , ,6.9,15.22,45.4,107.84,0.58,47.9,165.2,3.6,2
Air Force,1959,10,7.4,15.4,48.1,84.8, ,47.3,201.6,4.3, ,7,15.256,45.94,103.232,0.58,47.78,172.48,3.74,2
Air Force,1960,10,7.2,15,48,90.7,0.6,44.6,181.9,4.1,1.7,7.04,15.2048,46.352,100.7256,0.584,47.144,174.364,3.812,1.94
Air Force,1961,10,5.7,12.9,44.2,73.9,0.6,51.1,214.4,4.2,1.2,6.772,14.74384,45.9216,95.36048,0.5872,47.9352,182.3712,3.8896,1.792
Air Force,1962,10,7.7,16.1,47.8,104.5,1.1,47,190.1,4,1.2,6.9576,15.015072,46.29728,97.188384,0.68976,47.74816,183.91696,3.91168,1.6736
Air Force,1963,11,7.1,16.5,42.9,87.9,0.4,35.5,130.4,3.7,1.1,6.98608,15.3120576,45.617824,95.3307072,0.631808,45.298528,173.213568,3.869344,1.55888
Air Force,1964,10,6.6,15.2,43.4,82.6,0.7,44.6,153.8,3.4,1.2,6.908864,15.28964608,45.1742592,92.78456576,0.6454464,45.1588224,169.3308544,3.7754752,1.487104
Air Force,1965,10,7.6,16.8,45.2,94.9,0.7,51.4,196.4,3.8, ,7.0470912,15.59171686,45.17940736,93.20765261,0.65635712,46.40705792,174.7446835,3.78038016,1.487104
Air Force,1966,10,9.9,20.8,47.6,122.7,0.7,44.5,155.3,3.5, ,7.61767296,16.63337349,45.66352589,99.10612209,0.665085696,46.02564634,170.8557468,3.724304128,1.487104
Air Force,1967,10,11.9,22.8,52.2,146.4,0.9,50.2,181.4,3.6, ,8.474138368,17.86669879,46.97082071,108.5648977,0.712068557,46.86051707,172.9645975,3.699443302,1.487104
Air Force,1968,10,14.3,28.9,49.5,178.4,0.8,45.7,137.2,3,1.1,9.639310694,20.07335903,47.47665657,122.5319181,0.729654845,46.62841366,165.811678,3.559554642,1.4096832
Air Force,1969,10,14.2,29.6,48,169.1,0.7,49.9,157.7,3.2,1.3,10.55144856,21.97868723,47.58132525,131.8455345,0.723723876,47.28273092,164.1893424,3.487643714,1.38774656
Air Force,1970,12,14.1,31.3,45.1,177.1,0.9,47.5,136.9,2.9, ,11.26115884,23.84294978,47.0850602,140.8964276,0.758979101,47.32618474,158.7314739,3.370114971,1.38774656
Air Force,1971,10,12.5,26.5,47.2,173.5,0.9,46.9,166.2,3.5,1.6,11.50892708,24.37435983,47.10804816,147.4171421,0.787183281,47.24094779,160.2251791,3.396091977,1.430197248
Air Force,1972,10,12.5,25.2,49.6,143.1,0.9,47.4,179.1,3.8, ,11.70714166,24.53948786,47.60643853,146.5537137,0.809746625,47.27275823,164.0001433,3.476873581,1.430197248
