School,year,Games,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot
Air Force,2000,11,-5.4,-10.9,2.6,-56.5,-0.3,21.2,135.4,0.8,1.5,10.4,78.9,0.2,-1.9,7.8,0.4,6.2,0.3,1,-0.6,-0.1,-0.6,-8.233390019,-13.5154385,-5.733212787,-77.09392674,-0.440076084,17.78482325,140.8602739,1.350119199,1.49195878,10.4,78.9,0.2,-1.9,7.8,0.4,6.2,0.3,1,-0.6,-0.1,-0.6
Air Force,2001,12,-8,-11.9,-7,-130.3,-1.1,16.7,69.8,-0.3,0.9,4.8,-60.5,-1.2,-5.3,3.9,-0.1,-1.5,0.1,-4.7,-0.4,-0.4,-0.6,-8.186712015,-13.1923508,-5.986570229,-87.73514139,-0.572060867,17.5678586,126.6482191,1.020095359,1.373567024,9.28,51.02,-0.08,-2.58,7.02,0.3,4.66,0.26,-0.14,-0.56,-0.16,-0.6
Air Force,2002,13,-11,-16.7,-13.3,-108.4,0.1,21.3,152.3,1.1,1.3,4.7,43.9,0.3,-6.1,8.5,0.8,3.2,-0.7,-10,-0.3,-0.4,-0.7,-8.749369612,-13.89388064,-7.449256183,-91.86811311,-0.437648694,18.31428688,131.7785753,1.036076287,1.358853619,8.364,49.596,-0.004,-3.284,7.316,0.4,4.368,0.068,-2.112,-0.508,-0.208,-0.62
Air Force,2003,12,-6.4,-10.7,-3.9,-78.2,-0.2,17.1,111.7,0.7,0.9,6.3,33.5,0,-4,5.5,0.4,2,-1.1,-12.1,0,-0.4,-0.5,-8.279495689,-13.25510451,-6.739404947,-89.13449049,-0.390118955,18.0714295,127.7628602,0.96886103,1.267082895,7.9512,46.3768,-0.0032,-3.4272,6.9528,0.4,3.8944,-0.1656,-4.1096,-0.4064,-0.2464,-0.596
Air Force,2004,11,-5,-9.9,3.4,-74,-0.4,18.4,77.4,-0.2,0.7,8.6,3.4,-0.6,-2.9,4.7,0.7,2.5,-0.3,1.2,0,-0.1,0,-7.623596552,-12.58408361,-4.711523957,-86.10759239,-0.392095164,18.1371436,117.6902882,0.735088824,1.153666316,8.08096,37.78144,-0.12256,-3.32176,6.50224,0.46,3.61552,-0.19248,-3.04768,-0.32512,-0.21712,-0.4768
Air Force,2005,11,-8.4,-10.9,-6.7,-84.3,-0.2,13.3,73,0.3,0,2.5,-11.2,-0.4,-4.5,4,0.7,0.1,-1,-4.8,0.6,0.1,0.7,-7.778877241,-12.24726689,-5.109219166,-85.74607391,-0.353676131,17.16971488,108.7522305,0.648071059,0.922933053,6.964768,27.985152,-0.178048,-3.557408,6.001792,0.508,2.912416,-0.353984,-3.398144,-0.140096,-0.153696,-0.24144
Air Force,2006,12,-9.8,-13.1,-9.2,-112.1,-0.7,20.4,88.1,0.1,0.5,7.4,-24,-1,-4.6,4.6,0.7,0.8,-1.7,-12.3,-0.3,-0.5,-0.6,-8.183101793,-12.41781351,-5.927375333,-91.01685913,-0.422940905,17.8157719,104.6217844,0.538456847,0.838346442,7.0518144,17.5881216,-0.3424384,-3.7659264,5.7214336,0.5464,2.4899328,-0.6231872,-5.1785152,-0.1720768,-0.2229568,-0.313152
Air Force,2007,13,-9.2,-16.3,2.2,-112.4,-0.5,16,163,1.9,1.6,-0.4,50.7,0.7,-5,6.4,0,1.4,-0.7,2.1,0,-0.8,-0.8,-8.386481434,-13.19425081,-4.301900266,-95.29348731,-0.438352724,17.45261752,116.2974276,0.810765478,0.990677154,5.56145152,24.21049728,-0.13395072,-4.01274112,5.85714688,0.43712,2.27194624,-0.63854976,-3.72281216,-0.13766144,-0.33836544,-0.4105216
Air Force,2008,13,-11.1,-18.2,-4.8,-117.7,-0.5,21.3,125.4,0.8,0.6,3.1,7.6,-0.1,-7.3,7,-0.3,-0.7,0.1,4,-0.6,-0.4,-1,-8.929185148,-14.19540065,-4.401520213,-99.77478984,-0.450682179,18.22209402,118.117942,0.808612382,0.912541723,5.069161216,20.88839782,-0.127160576,-4.670192896,6.085717504,0.289696,1.677556992,-0.490839808,-2.178249728,-0.230129152,-0.350692352,-0.52841728
Air Force,2009,13,-8.6,-13.4,-7.3,-65.9,-0.2,26.9,149.5,0.8,1.5,13.5,83.5,0.3,-3.8,9.1,0.1,5.5,-0.6,-2,-0.4,-1.3,-1.7,-8.863348118,-14.03632052,-4.98121617,-92.99983188,-0.400545743,19.95767522,124.3943536,0.806889906,1.030033379,6.755328973,33.41071826,-0.041728461,-4.496154317,6.688574003,0.2517568,2.442045594,-0.512671846,-2.142599782,-0.264103322,-0.540553882,-0.762733824
