School,year,Games,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD
Air Force,1957,10,1.4,6.7,-7.2,2.5,-0.3,-4.8,-39,-0.5,-0.5,1.4,6.7,-7.2,2.5,-0.3,-4.8,-39,-0.5,-0.5
Air Force,1958,11,5.5,7.5,8.4,45,0.7,44.5,69.5,4.5,1.7,2.22,6.86,-4.08,11,-0.1,5.06,-17.3,0.5,-0.06
Air Force,1959,10,5.3,9.4,3.1,56.3,0.8,-5.4,-29.5,-0.2,1.5,2.836,7.368,-2.644,20.06,0.08,2.968,-19.74,0.36,0.252
Air Force,1960,10,3.9,9.4,-2.5,32.6,0.2,-1.8,-1,0.1,-1.7,3.0488,7.7744,-2.6152,22.568,0.104,2.0144,-15.992,0.308,-0.1384
Air Force,1961,10,1.2,3.4,-1.9,9.1,-0.3,-2.9,-49.2,-0.8,-1.2,2.67904,6.89952,-2.47216,19.8744,0.0232,1.03152,-22.6336,0.0864,-0.35072
Air Force,1962,10,-0.9,-1,-2.8,-24.4,-0.7,5.8,21,0,0.6,1.963232,5.319616,-2.537728,11.01952,-0.12144,1.985216,-13.90688,0.06912,-0.160576
Air Force,1963,11,-0.4,-2.2,4.2,9.3,0.2,9.6,78.4,0.9,-1.1,1.4905856,3.8156928,-1.1901824,10.675616,-0.057152,3.5081728,4.554496,0.235296,-0.3484608
Air Force,1964,10,4.3,4.6,11.7,51.8,0.1,0.2,-26.9,-0.6,-0.7,2.05246848,3.97255424,1.38785408,18.9004928,-0.0257216,2.84653824,-1.7364032,0.0682368,-0.41876864
Air Force,1965,10,6.1,11,4.1,78.5,0.4,-12.3,-88.8,-1,0,2.861974784,5.378043392,1.930283264,30.82039424,0.05942272,-0.182769408,-19.14912256,-0.14541056,-0.335014912
Air Force,1966,10,3.9,5.7,4.5,50.2,0.2,-1.7,-24.5,-0.4,0,3.069579827,5.442434714,2.444226611,34.69631539,0.087538176,-0.486215526,-20.21929805,-0.196328448,-0.26801193
Air Force,1967,10,-1.3,1.4,-8.4,-33.7,-0.6,-6.4,-53.6,-0.7,0,2.195663862,4.633947771,0.275381289,21.01705231,-0.049969459,-1.668972421,-26.89543844,-0.297062758,-0.214409544
Air Force,1968,10,-4.2,-7.2,-3,-41.5,0,6.7,48.9,0.6,-1.1,0.916531089,2.267158217,-0.379694969,8.513641851,-0.039975567,0.004822063,-11.73635075,-0.117650207,-0.391527635
Air Force,1969,10,-0.3,0.6,-2,29.7,1,-5.2,-8.2,0.1,-1.3,0.673224872,1.933726573,-0.703755975,12.75091348,0.168019546,-1.03614235,-11.0290806,-0.074120165,-0.573222108
Air Force,1970,12,2.6,2.4,4.4,56.3,0.9,-6,18,0.8,2.1,1.058579897,2.026981259,0.31699522,21.46073078,0.314415637,-2.02891388,-5.22326448,0.100703868,-0.038577686
Air Force,1971,10,-3,-2.9,-6.9,-30.3,-0.1,4.3,15.4,0,-0.3,0.246863918,1.041585007,-1.126403824,11.10858463,0.23153251,-0.763131104,-1.098611584,0.080563094,-0.090862149
Air Force,1972,10,-1.4,0.5,-6.4,30,0.9,3.4,26,0.2,2,-0.082508866,0.933268006,-2.181123059,14.8868677,0.365226008,0.069495117,4.321110733,0.104450475,0.327310281
Air Force,1973,10,-0.5,1.1,-4.4,-28.9,-0.3,-0.4,0.7,0,0,-0.166007093,0.966614404,-2.624898447,6.129494162,0.232180806,-0.024403906,3.596888586,0.08356038,0.261848225
Air Force,1974,11,1.4,5.2,-5.2,20.6,0,-4.8,-65.9,-1,0,0.147194326,1.813291524,-3.139918758,9.023595329,0.185744645,-0.979523125,-10.30248913,-0.133151696,0.20947858
Air Force,1975,11,4.2,8.6,1.3,-2.5,-0.1,-7.3,-103.6,-1.5,-1.4,0.957755461,3.170633219,-2.251935006,6.718876263,0.128595716,-2.2436185,-28.9619913,-0.406521357,-0.112417136
Air Force,1976,11,6.6,13.9,-1.3,63.3,-0.5,-7.7,-73.7,-0.9,-0.3,2.086204369,5.316506575,-2.061548005,18.03510101,0.002876573,-3.3348948,-37.90959304,-0.505217085,-0.149933709
Air Force,1977,11,1.7,8.8,-12,-2.3,-0.8,-9.7,-111.9,-1.7,-1.6,2.008963495,6.01320526,-4.049238404,13.96808081,-0.157698742,-4.60791584,-52.70767444,-0.744173668,-0.439946967
Air Force,1978,11,4.3,12.3,-9.2,15.4,0,-5,-128.1,-2.1,-1.8,2.467170796,7.270564208,-5.079390723,14.25446465,-0.126158993,-4.686332672,-67.78613955,-1.015338935,-0.711957574
Air Force,1979,11,2.7,3.5,5.2,-12.6,0,-0.5,-70.1,-1.4,-1.6,2.513736637,6.516451366,-3.023512579,8.883571718,-0.100927195,-3.849066138,-68.24891164,-1.092271148,-0.889566059
Air Force,1980,12,-4.6,-4.3,-12.8,-52.7,-0.3,-0.7,-22.4,-0.4,-0.9,1.090989309,4.353161093,-4.978810063,-3.433142626,-0.140741756,-3.21925291,-59.07912931,-0.953816918,-0.891652847
Air Force,1981,11,-7.4,-9.9,-10.3,-88,-0.6,6.1,-18.4,-0.8,-0.2,-0.607208553,1.502528875,-6.04304805,-20.3465141,-0.232593405,-1.355402328,-50.94330345,-0.923053535,-0.753322278
Air Force,1982,13,-6.6,-11.7,-3.3,-44.1,-0.6,12.9,54.3,-0.3,0.6,-1.805766842,-1.1379769,-5.49443844,-25.09721128,-0.306074724,1.495678138,-29.89464276,-0.798442828,-0.482657822
Air Force,1983,12,-12,-19.2,-7.1,-113.1,-1,17.4,145.3,1.2,2.6,-3.844613474,-4.75038152,-5.815550752,-42.69776902,-0.444859779,4.67654251,5.144285793,-0.398754262,0.133873742
Air Force,1984,12,-5.2,-11.8,2.4,-61.2,0,16.1,146.8,1.6,2.1,-4.115690779,-6.160305216,-4.172440602,-46.39821522,-0.355887823,6.961234008,33.47542863,0.00099659,0.527098994
Air Force,1985,13,-9.7,-18.8,3.1,-75.8,-0.1,17.1,173.3,2.4,2.6,-5.232552623,-8.688244173,-2.717952481,-52.27857218,-0.304710259,8.988987206,61.44034291,0.480797272,0.941679195
Air Force,1986,11,-12,-19.1,-13.2,-144.4,-0.7,20.1,106.3,0.7,0.6,-6.586042098,-10.77059534,-4.814361985,-70.70285774,-0.383768207,11.21118977,70.41227433,0.524637818,0.873343356
Air Force,1987,13,-9.5,-16,-12.3,-125.5,-0.6,20.8,211.8,2.2,2.1,-7.168833679,-11.81647627,-6.311489588,-81.66228619,-0.427014565,13.12895181,98.68981946,0.859710254,1.118674685
Air Force,1988,12,-12.6,-20.6,-13.6,-164.6,-0.7,15.5,157.9,1.4,1.4,-8.255066943,-13.57318102,-7.76919167,-98.24982895,-0.481611652,13.60316145,110.5318556,0.967768203,1.174939748
Air Force,1989,13,-8.7,-13.6,-7.3,-98.3,-1,20.7,180.9,1.7,2.4,-8.344053554,-13.57854481,-7.675353336,-98.25986316,-0.585289322,15.02252916,124.6054845,1.114214563,1.419951798
Air Force,1990,12,-13.3,-18.7,-26.9,-185,-1.2,17.9,129.9,1.4,0.8,-9.335242844,-14.60283585,-11.52028267,-115.6078905,-0.708231458,15.59802333,125.6643876,1.17137165,1.295961439
Air Force,1991,13,-12.2,-18.6,-24.3,-153.6,-0.5,22.9,171.6,1.4,1.1,-9.908194275,-15.40226868,-14.07622614,-123.2063124,-0.666585166,17.05841866,134.8515101,1.21709732,1.256769151
Air Force,1992,12,-8.7,-14.5,-12,-106.6,-0.8,10.8,56.7,0.3,1,-9.66655542,-15.22181494,-13.66098091,-119.8850499,-0.693268133,15.80673493,119.221208,1.033677856,1.205415321
Air Force,1993,12,-11.9,-15.2,-23.8,-185,-0.8,16.1,112.6,0.8,0.7,-10.11324434,-15.21745196,-15.68878473,-132.90804,-0.714614506,15.86538794,117.8969664,0.986942285,1.104332257
Air Force,1994,12,-12.7,-19.4,-9.7,-113.2,-0.7,21.3,186.5,2,1.4,-10.63059547,-16.05396156,-14.49102778,-128.966432,-0.711691605,16.95231036,131.6175731,1.189553828,1.163465805
Air Force,1995,13,-8.2,-13.8,-3.8,-131.4,-0.4,13.8,133.3,1.3,1.2,-10.14447637,-15.60316925,-12.35282223,-129.4531456,-0.649353284,16.32184828,131.9540585,1.211643062,1.170772644
Air Force,1996,11,-8.9,-13.1,-6.5,-112,-0.3,17.5,197.4,2.4,2,-9.8955811,-15.1025354,-11.18225778,-125.9625165,-0.579482627,16.55747863,145.0432468,1.44931445,1.336618115
Air Force,1997,13,-8.4,-15.1,-3.4,-79.2,-0.3,20.7,106.4,0.7,1.2,-9.59646488,-15.10202832,-9.625806224,-116.6100132,-0.523586102,17.3859829,137.3145975,1.29945156,1.309294492
Air Force,1998,13,-7.5,-13.4,-0.1,-49.2,0.5,12.4,141.4,2.1,2.2,-9.177171904,-14.76162266,-7.720644979,-103.1280105,-0.318868881,16.38878632,138.131678,1.459561248,1.487435594
Air Force,1999,11,-8,-11.8,-8.2,1.3,-1.1,19.1,158.6,1.6,1.5,-8.941737523,-14.16929813,-7.816515983,-82.24240843,-0.475095105,16.93102906,142.2253424,1.487648998,1.489948475
Akron,1987,11,-1.1,5.4,-12.4,-29.9,0.2,-5.4,-34.1,-0.3,-0.9,-1.1,5.4,-12.4,-29.9,0.2,-5.4,-34.1,-0.3,-0.9
Akron,1988,11,-0.7,2.7,-8,9.7,0,-4.4,21.2,0.8,-0.2,-1.02,4.86,-11.52,-21.98,0.16,-5.2,-23.04,-0.08,-0.76
Akron,1989,11,-5.9,-7,-7.7,-80.5,-1,5.9,71.3,1.2,0.9,-1.996,2.488,-10.756,-33.684,-0.072,-2.98,-4.172,0.176,-0.428
Akron,1990,11,-2.7,-4.1,-2.8,-29.2,-0.3,2.2,-3.3,-0.3,0.2,-2.1368,1.1704,-9.1648,-32.7872,-0.1176,-1.944,-3.9976,0.0808,-0.3024
Akron,1991,11,-5.2,-5.3,-10,-14.2,-0.8,0,33.3,0.7,-0.2,-2.74944,-0.12368,-9.33184,-29.06976,-0.25408,-1.5552,3.46192,0.20464,-0.28192
Akron,1992,11,-4.1,-7.7,-1,-32.8,-0.3,11,63.8,0.5,0.5,-3.019552,-1.638944,-7.665472,-29.815808,-0.263264,0.95584,15.529536,0.263712,-0.125536
Akron,1993,11,-2.9,-1,-11.6,-14.6,-0.5,5.2,14.9,-0.1,0.3,-2.9956416,-1.5111552,-8.4523776,-26.7726464,-0.3106112,1.804672,15.4036288,0.1909696,-0.0404288
Akron,1994,11,-0.5,6.2,-15.7,-37.1,-0.9,-10,-120.5,-1.8,-1.9,-2.49651328,0.03107584,-9.90190208,-28.83811712,-0.42848896,-0.5562624,-11.77709696,-0.20722432,-0.41234304
Akron,1995,11,1.6,8.8,-11.9,-11.9,-0.8,-8.8,-156.5,-2.8,-2.5,-1.677210624,1.784860672,-10.30152166,-25.4504937,-0.502791168,-2.20500992,-40.72167757,-0.725779456,-0.829874432
Akron,1996,11,-3.9,-2.7,-10.8,-7.7,-0.3,0,-24.6,-0.6,-0.4,-2.121768499,0.887888538,-10.40121733,-21.90039496,-0.462232934,-1.764007936,-37.49734205,-0.700623565,-0.743899546
Akron,1997,11,-8.2,-8.4,-14.8,-128.1,-1.8,1.3,-27.3,-0.8,-0.8,-3.337414799,-0.96968917,-11.28097386,-43.14031597,-0.729786348,-1.151206349,-35.45787364,-0.720498852,-0.755119636
Akron,1998,11,2.1,5.8,-3.5,11,-0.5,-3,-36.5,-0.5,0,-2.249931839,0.384248664,-9.724779092,-32.31225277,-0.683829078,-1.520965079,-35.66629891,-0.676399081,-0.604095709
Akron,1999,11,-1.2,-4,3.5,-29.4,-0.2,8.6,4.4,-0.7,-0.1,-2.039945472,-0.492601069,-7.079823274,-31.72980222,-0.587063262,0.503227937,-27.65303913,-0.681119265,-0.503276567
Alabama,1945,10,2.8,-1.5,28,43.2,1.1,12,237.4,5.1,3.5,2.8,-1.5,28,43.2,1.1,12,237.4,5.1,3.5
Alabama,1946,11,0.3,3.9,-9.2,3.4,0,12.2,69.8,0.8,0.7,2.3,-0.42,20.56,35.24,0.88,12.04,203.88,4.24,2.94
Alabama,1949,10,1.3,-1.4,11.3,17.8,1.2,-3.5,9.8,0.4,0.4,2.1,-0.616,18.708,31.752,0.944,8.932,165.064,3.472,2.432
Alabama,1950,11,1.3,0.5,6.5,47,1.1,15.9,139.9,1.5,1.7,1.94,-0.3928,16.2664,34.8016,0.9752,10.3256,160.0312,3.0776,2.2856
Alabama,1951,11,-2.1,-5,2.1,-4.9,0.1,-4.2,9.4,0.6,1,1.132,-1.31424,13.43312,26.86128,0.80016,7.42048,129.90496,2.58208,2.02848
Alabama,1952,12,-1,-3.6,5.8,-12.9,-0.2,50.7,63,4.5,1.4,0.7056,-1.771392,11.906496,18.909024,0.600128,16.076384,116.523968,2.965664,1.902784
Alabama,1953,12,0.1,0.7,-1.5,-1.2,0.2,2.5,28.2,0.4,0.2,0.58448,-1.2771136,9.2251968,14.8872192,0.5201024,13.3611072,98.8591744,2.4525312,1.5622272
Alabama,1954,11,3.4,2.4,18.5,51.7,1.1,2.3,0.4,-0.1,-0.9,1.147584,-0.54169088,11.08015744,22.24977536,0.63608192,11.14888576,79.16733952,1.94202496,1.06978176
Alabama,1955,10,4,6.5,6.6,22.6,-0.4,-18.6,-149.1,-1.7,-2.3,1.7180672,0.866647296,10.18412595,22.31982029,0.428865536,5.199108608,33.51387162,1.213619968,0.395825408
Alabama,1956,10,-1.8,0.6,-14.3,-11.1,-0.5,2.9,-33.5,-0.9,-1.2,1.01445376,0.813317837,5.287300762,15.63585623,0.243092429,4.739286886,20.11109729,0.790895974,0.076660326
Alabama,1957,10,1.4,4.5,-2.1,-2.1,-0.1,-0.9,-47.9,-0.9,-1.3,1.091563008,1.550654269,3.809840609,12.08868498,0.174473943,3.611429509,6.508877834,0.45271678,-0.198671739
Alabama,1958,10,-2,-5.3,2.4,-3.3,0.2,-7.1,-11.4,0.2,0,0.473250406,0.180523416,3.527872487,9.010947987,0.179579154,1.469143607,2.927102267,0.402173424,-0.158937391
Alabama,1959,11,-0.5,-2,3.9,10.5,0.4,4.2,35,0.5,0,0.278600325,-0.255581268,3.60229799,9.30875839,0.223663324,2.015314886,9.341681814,0.421738739,-0.127149913
Alabama,1960,11,0.6,-1,7.1,26.4,0.3,7.2,86.1,1.6,1.1,0.34288026,-0.404465014,4.301838392,12.72700671,0.238930659,3.052251909,24.69334545,0.657390991,0.11828007
Alabama,1961,11,0.6,-4,15.1,44.5,0.8,13.7,132.3,2.5,2.4,0.394304208,-1.123572011,6.461470714,19.08160537,0.351144527,5.181801527,46.21467636,1.025912793,0.574624056
Alabama,1962,11,-0.1,-4.2,10.5,36,1.1,14.4,115.7,2.1,1.6,0.295443366,-1.738857609,7.269176571,22.4652843,0.500915622,7.025441222,60.11174109,1.240730234,0.779699245
Alabama,1963,11,-1.2,-5.1,6.6,-24.2,0.2,5.9,71.5,1.4,1.2,-0.003645307,-2.411086087,7.135341257,13.13222744,0.440732497,6.800352977,62.38939287,1.272584187,0.863759396
Alabama,1964,11,2.6,0,16.6,38.3,0,5.4,72.5,1.4,1.2,0.517083755,-1.92886887,9.028273005,18.16578195,0.352585998,6.520282382,64.4115143,1.29806735,0.931007517
Alabama,1965,11,1.2,-1.5,12,31.4,0.4,11,43.7,0.2,1.2,0.653667004,-1.843095096,9.622618404,20.81262556,0.362068798,7.416225905,60.26921144,1.07845388,0.984806013
Alabama,1966,11,-0.8,-6.6,12.8,23.7,1.2,12,80.4,1.1,1.2,0.362933603,-2.794476077,10.25809472,21.39010045,0.529655039,8.332980724,64.29536915,1.082763104,1.027844811
Alabama,1967,11,-0.1,-3.8,9.1,0,0.2,7.7,34.2,0.4,0.9,0.270346882,-2.995580861,10.02647578,17.11208036,0.463724031,8.206384579,58.27629532,0.946210483,1.002275848
Alabama,1968,11,1.6,1,3.9,24,0.4,6.8,36.7,0.5,0.3,0.536277506,-2.196464689,8.801180623,18.48966429,0.450979225,7.925107664,53.96103626,0.856968387,0.861820679
Alabama,1969,11,0.8,0.7,1.4,51.5,0.5,-0.4,-39.5,-0.9,0.4,0.589022005,-1.617171751,7.320944498,25.09173143,0.46078338,6.260086131,35.268829,0.505574709,0.769456543
Alabama,1970,12,1.3,-0.3,5.1,30.2,0.1,4,38.4,0.5,0.4,0.731217604,-1.353737401,6.876755599,26.11338514,0.388626704,5.808068905,35.8950632,0.504459767,0.695565234
Alabama,1971,12,-5.1,-13,14.8,-41.1,0.3,23.5,190.3,2.1,2.5,-0.435025917,-3.682989921,8.461404479,12.67070811,0.370901363,9.346455124,66.77605056,0.823567814,1.056452188
Alabama,1972,12,-3.2,-7.2,3.5,8.1,0.3,20.4,177.4,2,2.8,-0.988020734,-4.386391937,7.469123583,11.75656649,0.35672109,11.5571641,88.90084045,1.058854251,1.40516175
Alabama,1973,12,-4.7,-11.8,10,8.7,0.5,14.7,207.6,2.9,3.1,-1.730416587,-5.869113549,7.975298867,11.14525319,0.385376872,12.18573128,112.6406724,1.427083401,1.7441294
Alabama,1974,12,-1.6,-6.4,8.8,13.4,0.6,17.4,140.7,1.5,2,-1.70433327,-5.975290839,8.140239093,11.59620255,0.428301498,13.22858502,118.2525379,1.441666721,1.79530352
Alabama,1975,12,-2,-6.6,7.1,-7.3,0.6,18.4,190.3,2.6,2.5,-1.763466616,-6.100232672,7.932191275,7.816962044,0.462641198,14.26286802,132.6620303,1.673333377,1.936242816
Alabama,1976,12,-1.2,-4.8,9.1,6.9,0.2,8.7,96.2,1.3,1.9,-1.650773292,-5.840186137,8.16575302,7.633569635,0.410112959,13.15029441,125.3696242,1.598666701,1.928994253
Alabama,1977,12,-1.2,-6.4,14.8,5.9,0.5,18.1,145,1.5,1.9,-1.560618634,-5.95214891,9.492602416,7.286855708,0.428090367,14.14023553,129.2956994,1.578933361,1.923195402
Alabama,1978,12,-4.7,-8.2,-1.5,-48.8,0.1,12.8,134.9,1.7,2,-2.188494907,-6.401719128,7.294081933,-3.930515434,0.362472294,13.87218843,130.4165595,1.603146689,1.938556322
Alabama,1979,12,-1.8,-8.9,14.2,5.2,0.1,30.8,222.6,2.1,3,-2.110795926,-6.901375302,8.675265546,-2.104412347,0.309977835,17.25775074,148.8532476,1.702517351,2.150845057
Alabama,1980,12,-3.6,-8.8,1.8,-30.8,-0.3,9.4,165.6,2.6,2.6,-2.408636741,-7.281100242,7.300212437,-7.843529878,0.187982268,15.68620059,152.2025981,1.882013881,2.240676046
Alabama,1981,12,-6,-14.5,4.9,-40.1,0.6,22.4,139.4,1.2,0.6,-3.126909392,-8.724880193,6.820169949,-14.2948239,0.270385814,17.02896047,149.6420785,1.745611105,1.912540837
Alabama,1982,12,-5,-10.7,5.9,-16.9,0.1,16.3,120.9,1.2,1.2,-3.501527514,-9.119904155,6.63613596,-14.81585912,0.236308651,16.88316838,143.8936628,1.636488884,1.770032669
Alabama,1983,12,-1.6,-3.6,1.6,-19.8,0.1,8.5,79.5,1,1,-3.121222011,-8.015923324,5.628908768,-15.8126873,0.209046921,15.2065347,131.0149302,1.509191107,1.616026136
