School,year,Games,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot,Cmp,Pass Att,Pct,Yds,Td,Rush Att,Yds,Avg,TD,Plays,Yds,Avg,First Down Pass,First Down Rush,First Down Penalty,First Downs,Penalties,P yards,Fumbles,Int,Tot
Air Force,2000,11,10.5,18.6,56.6,157,1.2,58.8,294.9,5,3,77.5,451.9,5.8,7.7,16.4,1.4,25.5,5.4,41.2,0.5,0.5,1.1,7.166375618,14.0837392,50.01519565,110.1312161,0.709607449,55.69422831,279.3503011,4.990243323,2.695608619,77.5,451.9,5.8,7.7,16.4,1.4,25.5,5.4,41.2,0.5,0.5,1.1
Air Force,2001,12,9.3,19.5,47.9,118.9,0.5,56.4,273.3,4.8,3,75.9,392.2,5.2,5.5,14.7,0.8,21,4.7,38.6,0.8,0.8,1.7,7.593100494,15.16699136,49.59215652,111.8849729,0.66768596,55.83538265,278.1402409,4.952194658,2.756486895,77.18,439.96,5.68,7.26,16.06,1.28,24.6,5.26,40.68,0.56,0.56,1.22
Air Force,2002,13,5.2,11.8,43.5,90.4,0.9,60.5,307.8,5.1,3.2,72.3,398.2,5.5,3.3,17.5,1.5,22.3,4.2,33.9,0.8,0.5,1.3,7.114480395,14.49359309,48.37372522,107.5879783,0.714148768,56.76830612,284.0721927,4.981755727,2.845189516,76.204,431.608,5.644,6.468,16.348,1.324,24.14,5.048,39.324,0.608,0.548,1.236
Air Force,2003,12,7.7,15.3,50.3,104.9,0.7,59.7,280.6,4.7,2.6,74.9,385.5,5.1,4.8,15.3,1.2,21.3,4.2,32.8,0.8,0.7,1.4,7.231584316,14.65487447,48.75898017,107.0503827,0.711319014,57.35464489,283.3777542,4.925404581,2.796151613,75.9432,422.3864,5.5352,6.1344,16.1384,1.2992,23.572,4.8784,38.0192,0.6464,0.5784,1.2688
Air Force,2004,11,10.3,17.2,59.8,148.1,1.1,58.9,277.4,4.7,2.9,76.1,425.5,5.6,7.2,14.6,1.9,23.7,5.2,45.4,0.7,0.7,1.5,7.845267453,15.16389958,50.96718414,115.2603061,0.789055211,57.66371592,282.1822033,4.880323665,2.81692129,75.97456,423.00912,5.54816,6.34752,15.83072,1.41936,23.5976,4.94272,39.49536,0.65712,0.60272,1.31504
Air Force,2005,11,11,18.6,59,170.7,1.3,53.5,246.5,4.6,2.5,72.1,417.3,5.8,7.1,13.5,1.9,22.5,4.9,45.9,1.3,0.9,2.2,8.476213962,15.85111966,52.57374731,126.3482449,0.891244169,56.83097273,275.0457627,4.824258932,2.753537032,75.199648,421.867296,5.598528,6.498016,15.364576,1.515488,23.37808,4.934176,40.776288,0.785696,0.662176,1.492032
Air Force,2006,12,7,12.2,57.5,101.3,1,55,229.4,4.2,1.8,67.2,330.7,4.9,4.6,13.9,1.5,20,3.9,34,0.8,0.3,1.2,8.18097117,15.12089573,53.55899785,121.3385959,0.912995335,56.46477819,265.9166101,4.699407146,2.562829626,73.5997184,403.6338368,5.4588224,6.1184128,15.0716608,1.5123904,22.702464,4.7273408,39.4210304,0.7885568,0.5897408,1.4336256
Air Force,2007,13,10,16.5,60.7,119.8,0.7,55.5,299.5,5.4,2.8,71.9,419.4,5.8,5.4,14.8,1.2,21.3,4.8,44.2,1,0.4,1.4,8.544776936,15.39671658,54.98719828,121.0308767,0.870396268,56.27182255,272.6332881,4.839525716,2.610263701,73.25977472,406.7870694,5.52705792,5.97473024,15.01732864,1.44991232,22.4219712,4.74187264,40.37682432,0.83084544,0.55179264,1.42690048
Air Force,2008,13,5.7,10.6,53.6,82.2,0.7,59.8,266.9,4.5,2.1,70.4,349.1,5,2.8,14.8,1,18.5,5.6,46.3,0.8,0.5,1.3,7.975821549,14.43737327,54.70975862,113.2647014,0.836317015,56.97745804,271.4866305,4.771620573,2.508210961,72.68781978,395.2496556,5.421646336,5.339784192,14.97386291,1.359929856,21.63757696,4.913498112,41.56145946,0.824676352,0.541434112,1.401520384
Air Force,2009,13,5.9,11.8,50.3,88.4,0.6,62.7,283.5,4.5,2.4,74.5,371.8,5,3.6,15.6,0.8,20.1,4.9,45,0.7,0.2,0.9,7.560657239,13.90989861,53.8278069,108.2917611,0.789053612,58.12196643,273.8893044,4.717296459,2.486568768,73.05025582,390.5597244,5.337317069,4.991827354,15.09909033,1.247943885,21.33006157,4.91079849,42.24916756,0.799741082,0.47314729,1.301216307
