School,year,Games,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD,Cmp,Pass Att,Pct,Yds,TD,Rush Att,Yds,Avg,TD
Air Force,1957,10,8.3,22.1,37.6,117,0.3,43.1,134.5,3.1,1.5,8.3,22.1,37.6,117,0.3,43.1,134.5,3.1,1.5
Air Force,1958,11,12.4,22,56.2,126.2,1.2,44.5,201.5,4.5,1.7,9.12,22.08,41.32,118.84,0.48,43.38,147.9,3.38,1.54
Air Force,1959,10,12.7,24.8,51.2,141.1,0.8,41.9,172.1,4.1,1.5,9.836,22.624,43.296,123.292,0.544,43.084,152.74,3.524,1.532
Air Force,1960,10,11.1,24.4,45.5,123.3,0.8,42.8,180.9,4.2, ,10.0888,22.9792,43.7368,123.2936,0.5952,43.0272,158.372,3.6592,1.532
Air Force,1961,10,6.9,16.3,42.3,83,0.3,48.2,165.2,3.4, ,9.45104,21.64336,43.44944,115.23488,0.53616,44.06176,159.7376,3.60736,1.532
Air Force,1962,10,6.8,15.1,45,80.1,0.4,52.8,211.1,4,1.8,8.920832,20.334688,43.759552,108.207904,0.508928,45.809408,170.01008,3.685888,1.5856
Air Force,1963,11,6.7,14.3,47.1,97.2,0.6,45.1,208.8,4.6, ,8.4766656,19.1277504,44.4276416,106.0063232,0.5271424,45.6675264,177.768064,3.8687104,1.5856
Air Force,1964,10,10.9,19.8,55.1,134.4,0.8,44.8,126.9,2.8,0.5,8.96133248,19.26220032,46.56211328,111.6850586,0.58171392,45.49402112,167.5944512,3.65496832,1.36848
Air Force,1965,10,13.7,27.8,49.3,173.4,1.1,39.1,107.6,2.8, ,9.909065984,20.96976026,47.10969062,124.0280468,0.685371136,44.2152169,155.595561,3.483974656,1.36848
Air Force,1966,10,13.8,26.5,52.1,172.9,0.9,42.8,130.8,3.1, ,10.68725279,22.0758082,48.1077525,133.8024375,0.728296909,43.93217352,150.6364488,3.407179725,1.36848
Air Force,1967,10,10.6,24.2,43.8,112.7,0.3,43.8,127.8,2.9, ,10.66980223,22.50064656,47.246202,129.58195,0.642637527,43.90573881,146.069159,3.30574378,1.36848
Air Force,1968,10,10.1,21.7,46.5,136.9,0.8,52.4,186.1,3.6, ,10.55584178,22.34051725,47.0969616,131.04556,0.674110022,45.60459105,154.0753272,3.364595024,1.36848
Air Force,1969,10,13.9,30.2,46,198.8,1.7,44.7,149.5,3.3, ,11.22467343,23.9124138,46.87756928,144.596448,0.879288017,45.42367284,153.1602618,3.351676019,1.36848
Air Force,1970,12,16.7,33.7,49.5,233.4,1.8,41.5,154.9,3.7,2.1,12.31973874,25.86993104,47.40205542,162.3571584,1.063430414,44.63893827,153.5082094,3.421340815,1.514784
