School,year,offPassYd,offRushYd,offRushYdAvg,defPassYd,defRushYd,defRushYdAvg,difTakaways,offTDpP,defTDpP,totPenalties,offPassYdAvg,defPassYdAvg,offTD,defTD,runAvgoffPassYd,runAvgoffRushYd,runAvgoffRushYdAvg,runAvgdefPassYd,runAvgdefRushYd,runAvgdefRushYdAvg,runAvgdifTakeaways,runAvgoffTDpP,runAvgdefTDpP,runAvgtotPenalties,runAvgoffPassYdAvg,runAvgdefPassYdAvg,runAvgoffTD,runAvgdefTD
Air Force,1957,117,134.5,3.1,114.5,173.5,3.6,,0.027607362,0.04107425,,5.294117647,7.435064935,1.8,2.6,117,134.5,3.1,114.5,173.5,3.6,,0.027607362,0.04107425,,5.294117647,7.435064935,1.8,2.6
Air Force,1958,126.2,201.5,4.5,81.2,132,,,0.043609023,,,5.736363636,5.6,2.9,,118.38,144.55,3.31,109.505,167.275,3.6,,0.030007611,0.04107425,,5.360454545,7.159805195,1.965,2.6
Air Force,1959,141.1,172.1,4.1,84.8,201.6,4.3,,0.034482759,,,5.689516129,5.506493506,2.3,,121.788,148.6825,3.4285,105.79925,172.42375,3.705,,0.030678883,0.04107425,,5.409813783,6.911808442,2.01525,2.6
Air Force,1960,123.3,180.9,4.2,90.7,181.9,4.1,,,0.038590604,,5.053278689,6.046666667,,2.3,122.0148,153.515125,3.544225,103.5343625,173.8451875,3.76425,,0.030678883,0.040701703,,5.356333519,6.782037175,2.01525,2.555
Air Force,1961,83,165.2,3.4,73.9,214.4,4.2,,,0.028125,,5.09202454,5.728682171,,1.8,116.16258,155.2678563,3.52259125,99.08920813,179.9284094,3.8296125,,0.030678883,0.038815197,,5.316687172,6.624033925,2.01525,2.44175
Air Force,1962,80.1,211.1,4,104.5,190.1,4,,0.032400589,0.036450079,,5.304635762,6.49068323,2.2,2.3,110.753193,163.6426778,3.594202563,99.90082691,181.454148,3.855170625,,0.030937139,0.03846043,,5.31487946,6.60403132,2.0429625,2.4204875
Air Force,1963,97.2,208.8,4.6,87.9,130.4,3.7,,,0.028846154,,6.797202797,5.327272727,,1.5,108.7202141,170.4162761,3.745072178,98.10070287,173.7960258,3.831895031,,0.030937139,0.037018288,,5.537227961,6.412517531,2.0429625,2.282414375
Air Force,1964,134.4,126.9,2.8,82.6,153.8,3.4,,0.020123839,0.031772575,,6.787878788,5.434210526,1.3,1.9,112.5721819,163.8888347,3.603311351,95.77559744,170.7966219,3.767110777,,0.029315144,0.036231431,,5.724825585,6.265771481,1.931518125,2.225052219
Air Force,1965,173.4,107.6,2.8,94.9,196.4,3.8,,,,,6.237410072,5.648809524,,,121.6963547,155.4455095,3.482814649,95.64425782,174.6371286,3.77204416,,0.029315144,0.036231431,,5.801713258,6.173227187,1.931518125,2.225052219
Air Force,1966,172.9,130.8,3.1,122.7,155.3,3.5,,,,,6.524528302,5.899038462,,,129.3769015,151.7486831,3.425392451,99.70261915,171.7365593,3.731237536,,0.029315144,0.036231431,,5.910135515,6.132098878,1.931518125,2.225052219
Air Force,1967,112.7,127.8,2.9,146.4,181.4,3.6,,,,,4.657024793,6.421052632,,,126.8753662,148.1563806,3.346583584,106.7072263,173.1860754,3.711551906,,0.029315144,0.036231431,,5.722168906,6.175441941,1.931518125,2.225052219
Air Force,1968,136.9,186.1,3.6,178.4,137.2,3,,,0.025469169,,6.30875576,6.173010381,,1.9,128.3790613,153.8479235,3.384596046,117.4611423,167.7881641,3.60481912,,0.029315144,0.034617092,,5.810156935,6.175077207,1.931518125,2.176294386
Air Force,1969,198.8,149.5,3.3,169.1,157.7,3.2,,,0.025157233,,6.582781457,5.712837838,,2,138.9422021,153.195735,3.371906639,125.206971,166.2749395,3.544096252,,0.029315144,0.033198113,,5.926050613,6.105741302,1.931518125,2.149850228
Air Force,1970,233.4,154.9,3.7,177.1,136.9,2.9,,0.051861702,,,6.925816024,5.658146965,3.9,,153.1108718,153.4513747,3.421120643,132.9909253,161.8686986,3.447481814,,0.032697128,0.033198113,,6.076015425,6.038602151,2.226790406,2.149850228
Air Force,1971,143.2,181.6,3.5,173.5,166.2,3.5,,0.028074866,0.034059946,,6.06779661,6.547169811,2.1,2.5,151.624241,157.6736685,3.432952547,139.0672865,162.5183938,3.455359542,,0.032003789,0.033327388,,6.074782602,6.1148873,2.207771845,2.202372694
Air Force,1972,173.1,205.1,4,143.1,179.1,3.8,,0.049673203,,,6.73540856,5.678571429,3.8,,154.8456049,164.7876183,3.518009665,139.6721936,165.0056347,3.507055611,,0.034654201,0.033327388,,6.173876496,6.04943992,2.446606069,2.202372694
Air Force,1973,154.2,190.4,4,183.1,189.7,4,,,,,6.143426295,7.629166667,,,154.7487641,168.6294755,3.590308215,146.1863645,168.7097895,3.580997269,,0.034654201,0.033327388,,6.169308966,6.286398932,2.446606069,2.202372694
Air Force,1974,131.9,139.3,3,111.3,205.2,4,,,,,5.612765957,6.081967213,,,151.3214495,164.2300542,3.501761983,140.9534098,174.1833211,3.643847679,,0.034654201,0.033327388,,6.085827515,6.255734174,2.446606069,2.202372694
Air Force,1975,120.6,148.5,3.3,123.1,252.1,4.8,,0.019498607,0.041134752,,4.550943396,6.877094972,1.4,2.9,146.7132321,161.8705461,3.471497685,138.2753984,185.8708229,3.817270527,,0.032380862,0.034498493,,5.855594897,6.348938294,2.289615158,2.30701679
Air Force,1976,189.3,142.8,3.2,126,216.5,4.1,,0.030144168,0.044222539,,6.106451613,7.368421053,2.3,3.1,153.1012473,159.0099642,3.430773033,136.4340886,190.4651995,3.859679948,,0.032045358,0.0359571,,5.893223404,6.501860707,2.291172885,2.425964271
Air Force,1977,153,122.7,2.9,155.3,234.6,4.6,,0.016949153,0.050209205,,5.257731959,7.650246305,1.2,3.6,153.0860602,153.5634695,3.351157078,139.2639753,197.0854196,3.970727956,,0.029780927,0.038094915,,5.797899687,6.674118547,2.127496952,2.602069631
Air Force,1978,151.5,164.5,3.4,136.1,292.6,5.5,,0.027777778,0.057101025,,5.590405904,9.195945946,2.1,3.9,152.8481512,155.2039491,3.358483516,138.789379,211.4126066,4.200118762,,0.029480454,0.040945832,,5.76677562,7.052392657,2.123372409,2.796759186
Air Force,1979,103.9,161.4,3.3,116.5,231.5,4.7,,0.018624642,0.043413174,,4.855140187,6.508379888,1.3,2.9,145.5059285,156.1333567,3.349710989,135.4459722,214.4257156,4.275100948,,0.027852083,0.041315933,,5.630030305,6.970790742,1.999866548,2.812245308
Air Force,1980,112.5,170.8,3.5,165.2,193.2,3.9,,0.021802326,0.036585366,,5.710659898,6.883333333,1.5,2.7,140.5550392,158.3333532,3.37225434,139.9090763,211.2418583,4.218835806,,0.026944619,0.040606348,,5.642124744,6.95767213,1.924886566,2.795408512
Air Force,1981,89,185.1,3.6,177,203.5,4.4,,0.027181688,0.036635007,,5,6.389891697,1.9,2.7,132.8217833,162.3483502,3.406416189,145.4727149,210.0805795,4.246010435,,0.026980179,0.040010647,,5.545806032,6.872505065,1.921153581,2.781097235
Air Force,1982,113.8,278.5,5,157.9,224.2,5.3,,0.048245614,0.049107143,,8.890625,6.444897959,3.3,3.3,129.9685158,179.7710977,3.645453761,147.3368077,212.1984926,4.40410887,,0.030169995,0.041375121,,6.047528878,6.808363999,2.127980544,2.85893265
Air Force,1983,102.3,317.6,5.9,215.4,172.3,4.7,,0.060278207,0.034586466,,9.742857143,7.252525253,3.9,2.3,125.8182385,200.445433,3.983635697,157.5462865,206.2137187,4.448492539,,0.034686226,0.040356823,,6.601828117,6.874988187,2.393783462,2.775092752
Air Force,1984,91.6,282.6,5.1,152.8,135.8,3.5,,0.055306428,0.025559105,,7.633333333,6.420168067,3.7,1.6,120.6855027,212.7686181,4.151090342,156.8343435,195.6516609,4.306218658,,0.037779257,0.038137165,,6.7565539,6.806765169,2.589715943,2.59882884
Air Force,1985,115.5,273.8,5.2,191.3,100.5,2.8,,0.060465116,0.021148036,,9.956896552,6.292763158,3.9,1.4,119.9076773,221.9233254,4.308426791,162.004192,181.3789118,4.08028586,,0.041182136,0.035588796,,7.236605298,6.729664868,2.786258551,2.419004514
Air Force,1986,75.3,232.6,3.8,219.7,126.3,3.1,,0.030769231,0.032624113,,6.845454545,7.299003322,2.2,2.3,113.2165257,223.5248266,4.232162772,170.6585632,173.117075,3.933242981,,0.0396202,0.035144094,,7.177932685,6.815065636,2.698319769,2.401153837
Air Force,1987,52.7,356.5,5.9,178.2,144.7,3.7,,0.053314121,0.034055728,,5.72826087,7.071428571,3.7,2.2,104.1390468,243.4711026,4.482338356,171.7897787,168.8545138,3.898256534,,0.041674288,0.034980839,,6.960481912,6.853520076,2.848571803,2.370980761
Air Force,1988,77.7,377.5,6.2,242.3,219.6,4.8,,0.067142857,0.053262317,,8.829545455,8.241496599,4.7,4,100.1731898,263.5754372,4.739987603,182.3663119,176.4663367,4.033518054,,0.045494573,0.03772306,,7.240841444,7.061716555,3.126286033,2.615333647
Air Force,1989,113.9,328.6,5.8,212.2,147.7,4.1,,0.066176471,0.05090312,,9.904347826,8.454183267,4.5,3.1,102.2322113,273.3291216,4.898989463,186.8413651,172.1513862,4.043490345,,0.048596858,0.039700069,,7.640367401,7.270586561,3.332343128,2.6880336
Air Force,1990,32.2,245.2,4.5,217.2,115.3,3.1,,0.036977492,0.042857143,,4.293333333,8.290076336,2.3,2.7,91.72737964,269.1097534,4.839141043,191.3951604,163.6236783,3.901966794,,0.046853953,0.04017363,,7.138312291,7.423510028,3.177491659,2.68982856
