Aaron David B., Austin Peay St. (TN),hc,1946,1954
Abbey William, Southern Oregon,hc,1951,1951
Abbott Charles Westley, Virginia,hc,1901,1901
"Abbott Cleveland L. ""Cleve""", Tuskegee (AL),hc,1923,1954
Abbott Eli, Alabama,hc,1893,1895
Abbott Eli, Alabama,hc,1902,1902
Abbott Eli, Mississippi College,hc,1946,1946
Abbott Jack, Maine,hc,1896,1896
Abbott Lyman E., Adrian (MI),hc,1946,1949
Abbott Samuel E., Northern Colorado,hc,1905,1905
Abbott Walter, Pepperdine (CA),hc,1946,1946
Abbott Walter, Maine,hc,1967,1975
Abell Earl & Goodman Mose, Virginia Military Institute,hc,1918,1918
Abell Earl C., Virginia Military Institute,hc,1917,1917
Abell Earl C., Sewanee (TN),hc,1919,1920
Abell Earl C., Mississippi St.,hc,1923,1924
Abell Earl C., Colgate (NY),hc,1928,1928
Abell Earl C., Virginia,hc,1929,1930
Abell Earl C., Washington & Lee (VA),hc,2013,2013
Abraham A.A., Alcorn St. (MS),hc,1936,1936
Abraham A.A., Alcorn St. (MS),hc,1938,1938
Abraham A.A., Alcorn St. (MS),hc,1941,1942
"Abrams Thomas ""Rudy""", Livingstone (NC),hc,1994,1998
"Abrams Thomas ""Rudy""", North Carolina Central,hc,1999,2002
Accorsi Jay, Rowan (NJ),hc,2013,2013
Acher Howard M., Tulsa (OK),hc,1922,1924
Achterhoff Kyle, Northwestern College (IA),hc,2013,2013
Acosta Bobby, Widener (PA),hc,2013,2013
Acton R.G., Vanderbilt (TN),hc,1896,1898
Adam Joe, Elmhurst (IL),hc,2013,2013
Adams Bill, Arkansas St.,hc,1939,1941
Adams E.H., North Carolina Central,hc,1936,1936
Adams George & Stewart George, Harvard (MA),hc,1890,1892
Adams Hobbs, Kansas St.,hc,1940,1941
Adams Hobbs, Kansas St.,hc,1946,1946
Adams Julius, Benedict (SC),hc,1997,1997
Adams Paul, Morehead St. (KY),hc,1956,1958
Adams Sparky, Chadron St. (NE),hc,1973,1977
Adams Sparky, Bemidji St. (MN),hc,1978,1981
Adams Stacy, Valparaiso (IN),hc,2005,2009
Adams W.J., Montana St.,hc,1899,1899
Addazio Steve, Temple (PA),hc,2011,2012
Addazio Steve, Boston College (MA),hc,2013,2013
Addicott J.E., San Jose St. (CA),hc,1893,1893
Addicott J.E., San Jose St. (CA),hc,1895,1895
Addicott J.E. & Whitemeger & Yost Fielding, San Jose St. (CA),hc,1900,1900
"Adolfson Earl ""Whitey""", Glenville St. (WV),hc,1975,1979
Adrian Pete, Bloomsburg (PA),hc,1986,1992
Adrian Pete, Norfolk St. (VA),hc,2005,2013
Affleck G.B., Northern Iowa,hc,1901,1901
Agase Alex, Northwestern (IL),hc,1964,1972
Agase Alex, Purdue (IN),hc,1973,1976
Agee Mike, Georgetown (DC),hc,1966,1967
Agness Rich, Lawrence (WI),hc,1984,1991
Agocs Herb, Montana St.,hc,1958,1962
Agosti Al, Cal Poly-San Luis Obispo,hc,1921,1929
Agosti Al, Cal Poly-San Luis Obispo,hc,1931,1932
Agustefer Eugene, Arkansas-Monticello,hc,1943,1944
Ahearn Mike F., Kansas St.,hc,1905,1910
Ahern George, Montana St.,hc,1898,1898
Ahlward Coach, Beloit (WI),hc,1893,1893
Ahrens A.L., Southern Arkansas,hc,1922,1922
Ahwesh Phil, Duquesne (PA),hc,1949,1949
"Aiken James W. ""Jim""", Akron (OH),hc,1936,1938
"Aiken James W. ""Jim""", Nevada,hc,1939,1946
"Aiken James W. ""Jim""", Oregon,hc,1947,1950
Aillet Joe, Louisiana Tech,hc,1940,1942
Aillet Joe, Louisiana Tech,hc,1944,1966
Akers Fred, Wyoming,hc,1975,1976
Akers Fred, Texas,hc,1977,1986
Akers Fred, Purdue (IN),hc,1987,1990
Akey Robb, Idaho,hc,2007,2012
Akins Al, Southern Oregon,hc,1955,1969
Alba Reuben, Alcorn St. (MS),hc,1946,1946
Albert Charles, Bloomsburg (PA),hc,1910,1910
Albert Phil, Towson (MD),hc,1972,1991
Alborn Ray, Rice (TX),hc,1978,1983
Alborn Ray, Lamar (TX),hc,1986,1989
Alden Scott, Austin Peay St. (TN),hc,1930,1932
Alderman W.W., Florida Southern,hc,1914,1917
Alderman W.W., Florida Southern,hc,1922,1924
Aldinger A.K., Bloomsburg (PA),hc,1895,1898
Aldinger A.K., Bloomsburg (PA),hc,1901,1905
Aldrich Gene, Saint John's (MN),hc,1924,1924
Aldrich Mike, Augustana (SD),hc,2010,2012
Aldworth Captain, Maine,hc,1918,1918
Alercio Rich, Castleton St. (VT),hc,2009,2010
Alexander Ernest, Fort Valley St. (GA),hc,1940,1940
"Alexander J.D. ""Swede""", Lincoln Memorial (TN),hc,1930,1931
"Alexander J.D. ""Swede""", East Carolina (NC),hc,1937,1938
Alexander Jack, Brevard College (NC),hc,1940,1940
Alexander Jack, Brevard College (NC),hc,1948,1948
Alexander S.M., Duke (NC),hc,1923,1923
Alexander T., North Central (IL),hc,1900,1901
"Alexander William A. ""Bill""", Georgia Tech,hc,1920,1944
Allaben M.C., Davis & Elkins (WV),hc,1906,1907
Allen Charles A., Alma (MI),hc,1900,1900
Allen Dan, Boston (MA),hc,1990,1995
Allen Dan, Holy Cross (MA),hc,1996,2003
"Allen Forrest C. ""Phog""", Central Missouri St.,hc,1912,1917
"Allen Forrest C. ""Phog""", Kansas,hc,1920,1920
Allen George E., Maine,hc,1941,1941
Allen George E., Maine,hc,1946,1948
Allen George H. & Wynne Elmer, Colorado School of Mines,hc,1931,1932
Allen George H. (1), Morningside (IA),hc,1948,1950
Allen George H. (1), Cal St.-Long Beach,hc,1990,1990
Allen George H. (2), Colorado School of Mines,hc,1927,1930
"Allen H.T. ""Pug""", Stetson (FL),hc,1920,1922
Allen Harvey L., Tulsa (OK),hc,1912,1912
Allen Henry, Delta St. (MS),hc,1933,1933
Allen John, Kean (NJ),hc,1975,1976
Allen John, Southwestern Assemblies (TX),hc,1996,1997
Allen John, Lock Haven (PA),hc,2011,2013
"Allen Lamar ""Buddy""", Arkansas-Pine Bluff,hc,1946,1949
Allen Pokey, Portland St. (OR),hc,1986,1992
Allen Pokey, Boise St. (ID),hc,1993,1996
Allen Terry, Northern Iowa,hc,1989,1996
Allen Terry, Kansas,hc,1997,2001
Allen Terry, Missouri St.,hc,2006,2013
Allen W.E., Lawrence (WI),hc,1903,1903
Allen William L., Washington St.,hc,1900,1900
Allen William L., Washington St.,hc,1902,1902
"Allerdice David W. ""Dave""", Butler (IN),hc,1911,1911
"Allerdice David W. ""Dave""", Texas,hc,1912,1915
Alley Ernest Hayes, Middle Tennessee St.,hc,1939,1939
Alley Ernest Hayes, Vanderbilt (TN),hc,1943,1943
Alley T.W., Louisville (KY),hc,1973,1974
Allison Carl, Harding (AR),hc,1959,1963
"Allison Leonard B. ""Stub""", Washington,hc,1920,1920
"Allison Leonard B. ""Stub""", South Dakota,hc,1922,1926
"Allison Leonard B. ""Stub""", California,hc,1935,1944
Allison P.C., California (PA),hc,1920,1925
Allison Rodney, Tennessee-Chattanooga,hc,2003,2008
Allman B.M., Adrian (MI),hc,1921,1922
Alsop Kim, Samford (AL),hc,1984,1986
Alston Royal, Maryland,hc,1910,1910
Altenburg William L., Adelphi (NY),hc,1947,1949
Alton Bill, Texas-El Paso,hc,1981,1981
Alvanos Pete, Swarthmore (PA),hc,1998,2000
Alvanos Pete, Hamilton (NY),hc,2001,2005
Alvarez Barry, Wisconsin,hc,1990,2005
Alvarez Barry, Wisconsin,hc,2012,2012
Alward Herb, Wisconsin,hc,1891,1891
Amadee Lynn, Tennessee-Martin,hc,1980,1981
Amato Chuck, North Carolina St.,hc,2000,2006
Ambrose Rob, Towson (MD),hc,2009,2013
Ambruster H.W., Rutgers (NJ),hc,1895,1896
Amen Paul J., Wake Forest (NC),hc,1956,1959
Amendola Buddy, Central Connecticut St.,hc,1982,1986
"Ames Knowlton L. ""Snake""", Purdue (IN),hc,1891,1892
"Amis T.B. ""Dad""", Howard Payne (TX),hc,1924,1927
"Amis T.B. ""Dad""", Furman (SC),hc,1928,1931
Amos W.O., Miles (AL),hc,1931,1933
Amstutz Tom, Toledo (OH),hc,2001,2008
Amundsen Norm, Beloit (WI),hc,1962,1967
Amundsen Norm, Valparaiso (IN),hc,1968,1976
Anderson A.J., Southern Arkansas,hc,1920,1921
