Anderson Bill, North Park, hc, [1978, 1985],,,
Anderson Bill, Howard Payne, hc, [1988, 1991],,,
Ankney Moe, Ball State (DB), db, [1971, 1975],,,
Ankney Moe, Tulane (DC/DB), hc, [1976, 1979],,,
Ankney Moe, Arizona (AHC/DC/AB), hc, [1980, 1985],,,
Ankney Moe, Bowling Green, hc, [1986, 1990],,,
Ankney Moe, Purdue (DC), dc, [1991, 1994],,,
Ankney Moe, Missouri (DC), dc, [1998, 2004],,,
Ankney Moe, Minnesota (AHC), hc, [2005, -1],,,
Archer Mike, Miami (GA), ga, [1976, 1977],,,
Archer Mike, Miami (assistant), ga, [1978, 1978],,,
Archer Mike, Miami (DB), db, [1979, 1983],,,
Archer Mike, LSU (DB), db, [1984, 1984],,,
Archer Mike, LSU (DC/DB), hc, [1985, 1986],,,
Archer Mike, LSU, hc, [1987, 1990],,,
Archer Mike, Virginia (LB), lb, [1991, 1992],,,
Archer Mike, Kentucky (DB/LB), db, [1993, 1994],,,
Archer Mike, Kentucky (AHC/DB/LB), hc, [1995, 1995],,,
Archer Mike, Pittsburgh Steelers (LB), lb, [1996, 2002],,,
Archer Mike, Kentucky (DC), dc, [2003, 2006],,,
Archer Mike, NC State (DC), dc, [2007, 2012],,,
Archer Mike, Virginia (Def Asst), dl, [2014, -1],,,
Arians Bruce, Virginia Tech (graduate assistant), ga, [1975, 1977],,,
Arians Bruce, Mississippi State (RB/WR), rb, [1978, 1980],,,
Arians Bruce, Alabama (RB), rb, [1981, 1982],,,
Arians Bruce, Temple (head coach), hc, [1983, 1988],,,
Arians Bruce, Kansas City Chiefs (RB), rb, [1989, 1992],,,
Arians Bruce, Mississippi State (OC), oc, [1993, 1995],,,
Arians Bruce, New Orleans Saints (TE), hc, [1996, 1996],,,
Arians Bruce, Alabama (OC), oc, [1997, 1997],,,
Arians Bruce, Indianapolis Colts (QB), qb, [1998, 2000],,,
Arians Bruce, Cleveland Browns (OC), oc, [2001, 2003],,,
Arians Bruce, Pittsburgh Steelers (WR), wr, [2004, 2006],,,
Arians Bruce, Pittsburgh Steelers (OC), oc, [2007, 2011],,,
Arians Bruce, Indianapolis Colts (OC/interim HC), hc, [2012, 2012],,,
Arians Bruce, Arizona Cardinals (head coach), hc, [2013, -1],,,
Arico Larry, Fairleigh DickinsonFlorham, hc, [1997, 1999],,,
Arico Larry, William Paterson, hc, [2000, 2004],,,
Arnold Dave, Midland HS (MI) (assistant), ga, [1968, 1972],,,
Arnold Dave, Alma HS (MI) (assistant), ga, [1973, 1973],,,
Arnold Dave, Alma HS (MI), hc, [1974, 1979],,,
Arnold Dave, Michigan State (OL), ol, [1980, 1981],,,
Arnold Dave, Montana State (OL), ol, [1982, 1982],,,
Arnold Dave, Montana State, hc, [1983, 1986],,,
Arnold Dave, Washington State (ST/OL), st, [1987, 1988],,,
Arnold Dave, Miami (FL) (ST/RB), st, [1989, 1994],,,
Arnold Dave, Seattle Seahawks (ST), st, [1995, 1997],,,
Arnold Dave, Albion (assistant), ga, [1999, 2004],,,
Arnold Dave, Colorado State (assistant), ga, [2005, 2007],,,
Arnsparger Bill, Miami (OH) (assistant), ga, [1950, 1950],,,
Arnsparger Bill, Ohio State (assistant), ga, [1951, 1953],,,
Arnsparger Bill, Kentucky (OL), ol, [1954, 1961],,,
Arnsparger Bill, Tulane (assistant), ga, [1962, 1963],,,
Arnsparger Bill, Baltimore Colts (DL), dl, [1964, 1969],,,
Arnsparger Bill, Miami Dolphins (DC/LB), dc, [1970, 1972],,,
Arnsparger Bill, Miami Dolphins (AHC/DC), hc, [1973, 1973],,,
Arnsparger Bill, New York Giants, hc, [1974, 1976],,,
Arnsparger Bill, Miami Dolphins (AHC/DC), hc, [1976, 1983],,,
Arnsparger Bill, LSU, hc, [1984, 1986],,,
Arnsparger Bill, San Diego Chargers (DC), dc, [1992, 1994],,,
Arslanian Dave, Snow College, hc, [-1, -1],,,
Arslanian Dave, Weber State, hc, [1989, 1997],,,
Arslanian Dave, Utah State, hc, [1998, 1999],,,
Asberry Darrell, Jackson State (OC), oc, [2001, 2002],,,
Asberry Darrell, Coahoma CC (OC), oc, [2003, 2003],,,
Asberry Darrell, NCCU (OC/QB), oc, [2004, 2004],,,
Asberry Darrell, NCCU (AHC/OC/QB), hc, [2005, 2005],,,
Asberry Darrell, Shaw, hc, [2006, 2011],,,
Asberry Darrell, Texas Southern, hc, [2012, -1],,,
Ash Rob, Cornell (IA) (assistant), ga, [1976, 1979],,,
Ash Rob, Juniata, hc, [1980, 1988],,,
Ash Rob, Drake, hc, [1989, 2006],,,
Ash Rob, Montana State, hc, [2007, -1],,,
Audino John, Albany (ST), st, [1975, 1976],,,
Audino John, Columbia (assistant), ga, [1977, 1981],,,
Audino John, Kentucky (TE), hc, [1982, 1982],,,
Audino John, Union (NY) (OC), oc, [1983, 1985],,,
Audino John, Penn (WR/QB), wr, [1986, 1989],,,
Audino John, Kean, hc, [1990, 1991],,,
Audino John, Union (NY), hc, [1992, -1],,,
Ault Chris, Churchill County HS (NV) (assistant), ga, [1968, 1968],,,
Ault Chris, Bishop Manogue HS (NV), hc, [1969, 1971],,,
Ault Chris, Reno HS (NV), hc, [1972, 1972],,,
Ault Chris, UNLV (assistant), ga, [1973, 1975],,,
Ault Chris, Nevada, hc, [1976, 1992],,,
Ault Chris, Nevada, hc, [1994, 1995],,,
Ault Chris, Nevada, hc, [2004, 2012],,,
Ault Chris, Kansas City Chiefs (consultant), hc, [2013, -1],,,
Austin Kent, Ottawa Renegades (QB), qb, [2003, 2003],,,
Austin Kent, Toronto Argonauts (OC), oc, [2004, 2006],,,
Austin Kent, Saskatchewan Roughriders, hc, [2007, 2007],,,
Austin Kent, University of Mississippi (OC), oc, [2008, 2010],,,
Austin Kent, Cornell University, hc, [2010, 2012],,,
Austin Kent, Hamilton Tiger-Cats, hc, [2013, -1],,,
Avery Wendell, Macalester (QB/WR), qb, [1982, 1983],,,
Avery Wendell, Winona State (OC), oc, [1990, 1991],,,
Avery Wendell, Alabama A&M (QB/WR), qb, [1992, 1993],,,
Avery Wendell, Savannah State (OC), oc, [1994, 1994],,,
Avery Wendell, Savannah State, hc, [1995, 1996],,,
Avery Wendell, Fort Valley State (QB), qb, [1998, 1998],,,
Avery Wendell, Tampa Bay Buccaneers (OA), hc, [1999, 2000],,,
Awrey Randy, Kentucky Wesleyan, hc, [1990, 1994],,,
Awrey Randy, Lakeland (WI), hc, [1994, 1999],,,
Awrey Randy, Saginaw Valley State, hc, [1999, 2007],,,
Axman Steve, MacArthur HS (NY), hc, [1973, 1973],,,
Axman Steve, East Stroudsburg (DL), dl, [1974, 1974],,,
Axman Steve, Albany State (OL), ol, [1975, 1975],,,
Axman Steve, Army (assistant), ga, [1976, 1978],,,
Axman Steve, Illinois (assistant), ga, [1979, 1979],,,
Axman Steve, Arizona (OC/QB), oc, [1980, 1984],,,
Axman Steve, Denver Gold (OL), ol, [1985, 1985],,,
Axman Steve, Stanford (OL), ol, [1986, 1986],,,
Axman Steve, UCLA (OC/QB), oc, [1987, 1987],,,
Axman Steve, UCLA (OC/OL), oc, [1988, 1988],,,
